Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
17824|tai deshita|～たいでした||1||||||304||326||315||
17825|taku arimasen|～たくありません||1||||||305||327||316||
17826|taku arimasen deshita|～たくありませんでした||1||||||306||328||317||
17827|tagaru|～たがる||1||||||307||329||318||
17828|yasui|～やすい||1||||||308|easy to be|330|facile d'être|319|fácil de ser|
17829|nikui|～にくい||1||||||309|difficult to be, difficult to do, hard to be|331|difficile à être, difficile à faire|320|difícil de ser, difícil de hacer|
17830|yagaru|～やがる||1||||||310|difficult to be, difficult to do, hard to be|332|difficile à être, difficile à faire|321|difícil de ser, difícil de hacer|
17831|yagare|～やがる||1||||||311||333||322||
17832|nu|～ぬ||1||||||312||334||323||
17833|zu|～ず||1||||||313||335||324||
17834|agaru|～上がる|上る, 挙がる, 揚がる,  上る|1||||||314||336||325||
17835|hodo|～程||1||||||315||337||326||
17836|ina ka|～否か||1|inaka|||||316||338||327||
17837|koto ni suru|～ことにする||1|nai koto ni suru, nai koto ni shimasu, koto ni kimeru|||||317||339||328||
17838|koto ni shita|～ことにした||1||||||318||340||329||
17839|maji|～まじ||1||||||319||341||330||
17840|koto ni shiteiru|～ことにしている||1||||||320||342||331||
17841|koto ni naru|～ことになる||1|nai koto ni naru, nai koto ni narimasu|||||321||343||332||
17842|ga hayai ka|～が早いか||1||||||322||344||333||
17843|tara dou desu ka|～たらどうですか||1|dara dou desu, tara dou da, dara dou da|||||323||345||334||
17844|tara ii desu ka|～たらいいですか||1|dara ii desu ka|||||324||346||335||
17845|deshou ka|～でしょうか||1||||||325||347||336||
17846|masen ka|～ませんか||1|nai ka, naika|||||326||348||337||
17847|nai ka|～ないか||1|masen ka, naika|||||552||349||338||
17848|mashou ka|～ませんか||1||||||327||350||339||
17849|dake|～だけ||1|dake da, dake desu|||||328||351||340||
17850|ta bakari|～たばかり||1|bakari, bakkari, bakashi, bakkashi|||||329|just done, recently done, just recently done, just did|352|juste fait, récemment fait|341|acaba de hacer, hace poco|
17851|bakari|～ばかり||1|bakkari, bakashi, bakkashi|||||330||353||342||
17852|ta tokoro da|～たところだ||1|tokoro da, ta tokoro desu|||||331||354||343||
17853|tokoro da|～ところだ||1||||||332||355||344||
17854|teiru tokoro da|～ているところだ||1|tokoro da, teiru tokoro desu|||||333||356||345||
17855|koto ga aru|～ことがある||1|nai koto ga aru, nai koto ga arimasu, koto ga nai, koto ga nakatta|||||334||357||346||
17856|koto ga dearu|～ことがである||1|nai koto ga dearu, nai koto ga dearimasu|||||335||358||347||
17857|ta koto ga aru|～たことがある||1|koto ga aru|||||336|have done before|359|fait avant|348|haber hecho antes|
17858|ta koto ni naru|～たことになる||1|koto ni naru|||||337||360||349||
17859|ta to shite mo|～たとしても||1||||||7067||361||350||
17860|koto ni natteiru|～ことになっている||1|nai koto ni natteiru, nai koto ni natteimasu|||||338|scheduled to do, due to do|362|prévu de faire, en raison de faire|351|programado para hacer, debido a hacer|
17861|ou to shiteiru|～おうとしている||1|ou to shiteiru, ou to shiteimasu|||||339|intend to|363|a l'intention de|352|tener la intención de|
17862|ou to suru|～おうとする||1|ou to suru, ou to shimasu|||||647|intend to|364|a l'intention de|353|tener la intención de|
17863|ou to shita|～おうとした||1|ou to shimashita|||||340||365||354||
17864|ou to omou|～おうと思う||1|ou to omotteiru, ou to omoimasu, ou to moimasu, ou to mou|||||341|plan to be, considering to|366|envisage d'être, envisageant de|355|planar de ser, considerando a|
17865|ou to omotteiru|～おうと思っている||1|ou to omou, ou to omotteimasu, ou to motteimasu, ou to motteiru|||||342|plan to be, considering to|367|envisage d'être, envisageant de|356|planar de ser, considerando a|
17866|tomonaku|～ともなく||1||||||343|absentmindedly, without planning to, without intending to|368|distraitement, sans planifier, sans avoir l'intention de|357|distraídamente, sin planear, sin pretender|
17867|tsumori|～積もり|積り|1||||||344||369||358||
17868|ba ii noni|～ばいいのに||1|ii noni|||||345||370||359||
17869|ba yokatta noni|～ばよかったのに||1|yokatta noni|||||346||371||360||
17870|ba yokatta|～ばよかった||1|yokatta|||||347||372||361||
17871|i|～い||1|keiyoushi, i keiyoushi|||||348|i-adjective|373||362||
17872|i desu|～いです||1|keiyoushi, i keiyoushi|||||349|i-adjective|374||363||
17873|kunai desu|～くないです||1|keiyoushi, i keiyoushi|||||350|i-adjective|375||364||
17874|ku arimasen|～くありません||1|keiyoushi, i keiyoushi|||||351|i-adjective|376||365||
17875|katta desu|～かったです||1|keiyoushi, i keiyoushi|||||352|i-adjective|377||366||
17876|kunakatta desu|～くなかったです||1|keiyoushi, i keiyoushi|||||353|i-adjective|378||367||
17877|ku arimasen deshita|～くありませんでした||1|keiyoushi, i keiyoushi|||||354|i-adjective|379||368||
17878|ku|～く||1|keiyoushi, i keiyoushi|||||355|i-adjective|380||369||
17879|kute|～くて||1|keiyoushi, i keiyoushi|||||356;357|i-adjective|381;382||370;371||
17880|kutemo|～くて||1|keiyoushi, i keiyoushi|||||6206|i-adjective|383||372||
17881|ku naru|～くなる||1|keiyoushi, i keiyoushi|||||358|i-adjective|384||373||
17882|ku suru|～くする||1|keiyoushi, i keiyoushi|||||359|i-adjective|385||374||
17883|mi|～み||1|keiyoushi, i keiyoushi|||||360|i-adjective|386||375||
17884|kereba|～ければ||1|kereba desu, keiyoushi, i keiyoushi|||||361|i-adjective, conditional|387|conditionnel|376|condicional|
17885|karou|～かろう||1|keiyoushi, i keiyoushi|||||362|i-adjective, volitional, suggestive|388|volitif, suggestif|377|volitivo, sugerente.|
17886|sa|～さ||1|keiyoushi, i keiyoushi|||||6197|i-adjective|389||378||
17887|[root]|～||1|keiyoudoushi, na keiyoushi|||||363|na-adjective|390||379||
17888|desu|～です||1|keiyoudoushi, na keiyoushi|||||364|na-adjective|391||380||
17889|dewa arimasen|～ではありません||1|keiyoudoushi, na keiyoushi|||||365|na-adjective|392||381||
17890|ja nai desu|～じゃないです||1|keiyoudoushi, na keiyoushi|||||366|na-adjective|393||382||
17891|dewa nai|～ではない||1|keiyoudoushi, na keiyoushi|||||367;643|na-adjective, am not, is not|394;395|na-adjectif, ne suis pas, n'est pas|383;384|no soy, no es|
17892|ja nai|～じゃない||1|keiyoudoushi, na keiyoushi|||||368|na-adjective|396||385||
17893|deshita|～でした||1|keiyoudoushi, na keiyoushi|||||369|na-adjective|397||386||
17894|ja arimasen deshita|～じゃありませんでした||1|keiyoudoushi, na keiyoushi|||||370|na-adjective|398||387||
17895|de wa arimasen deshita|～じゃありませんでした||1|keiyoudoushi, na keiyoushi|||||371|na-adjective|399||388||
17896|de (next adj.)|～で||1|keiyoudoushi, na keiyoushi|||||372|na-adjective|400||389||
17897|demo|～くて||1|keiyoudoushi, na keiyoushi|||||6207|na-adjective|401||390||
17898|ni naru|～になる||1|keiyoudoushi, na keiyoushi|||||373|na-adjective|402||391||
17899|ni suru|～にする||1|keiyoudoushi, na keiyoushi|||||374|na-adjective|403||392||
17900|deareba|～であれば||1|deareba desu, keiyoudoushi, na keiyoushi|||||375|na-adjective, conditional|404|conditionnel|393|condicional|
17901|yotei da|～予定だ||1|to yotei da, to yotei desu|||||6149||405||394||
17902|ni kyoumi ga aru|～に興味がある||1||||||6612||406||395||
17903|dewa nakatta|～ではなかった||1||||||6883||407||396||
