ID|Example Romaji|Example Kanji|Example English|Example French|Example Spanish|
19|kore wa juuman en desu.|これは十万円です。|This (costs) one hundred thousand yen.|Ça (coûte) cent mille yens.|Este (cuesta) de cien mil yenes.|
20|kyou wa tsuitachi desu.|今日は一日です。|Today is the 1 of the month.|Aujourd'hui est le 1 du mois.|Hoy es el 1 del mes.|
21|kyou wa futsuka desu.|今日は二日です。|Today is the 2 of the month.|Aujourd'hui est le 2 du mois.|Hoy es el 2 del mes.|
22|kyou wa mikka desu.|今日は三日です。|Today is the 3 of the month.|Aujourd'hui est le 3 du mois.|Hoy es el 3 del mes.|
23|kyou wa yokka desu.|今日は四日です。|Today is the 4 of the month.|Aujourd'hui est le 4 du mois.|Hoy es el 4 del mes.|
24|kyou wa itsuka desu.|今日は五日です。|Today is the 5 of the month.|Aujourd'hui est le 5 du mois.|Hoy es el 5 del mes.|
25|kyou wa muika desu.|今日は六日です。|Today is the 6 of the month.|Aujourd'hui est le 6 du mois.|Hoy es el 6 del mes.|
26|kyou wa nanoka desu.|今日は七日です。|Today is the 7 of the month.|Aujourd'hui est le 7 du mois.|Hoy es el 7 del mes.|
27|kyou wa youka desu.|今日は八日です。|Today is the 8 of the month.|Aujourd'hui est le 8 du mois.|Hoy es el 8 del mes.|
28|kyou wa kokonoka desu.|今日は九日です。|Today is the 9 of the month.|Aujourd'hui est le 9 du mois.|Hoy es el 9 del mes.|
29|kyou wa tooka desu.|今日は十日です。|Today is the 10 of the month.|Aujourd'hui est le 10 du mois.|Hoy es el 10 del mes.|
30|kyou wa juuichi nichi desu.|今日は十一日です。|Today is the 11 of the month.|Aujourd'hui est le 11 du mois.|Hoy es el 11 del mes.|
31|kyou wa juuni nichi desu.|今日は十二日です。|Today is the 12 of the month.|Aujourd'hui est le 12 du mois.|Hoy es el 12 del mes.|
32|kyou wa juusan nichi desu.|今日は十三日です。|Today is the 13 of the month.|Aujourd'hui est le 13 du mois.|Hoy es el 13 del mes.|
33|kyou wa juuyokka desu.|今日は十四日です。|Today is the 14 of the month.|Aujourd'hui est le 14 du mois.|Hoy es el 14 del mes.|
34|kyou wa juugo nichi desu.|今日は十五日です。|Today is the 15 of the month.|Aujourd'hui est le 15 du mois.|Hoy es el 15 del mes.|
35|kyou wa juuroku nichi desu.|今日は十六日です。|Today is the 16 of the month.|Aujourd'hui est le 16 du mois.|Hoy es el 16 del mes.|
36|kyou wa juushichi nichi desu.|今日は十七日です。|Today is the 17 of the month.|Aujourd'hui est le 17 du mois.|Hoy es el 17 del mes.|
37|kyou wa juuhachi nichi desu.|今日は十八日です。|Today is the 18 of the month.|Aujourd'hui est le 18 du mois.|Hoy es el 18 del mes.|
38|kyou wa juuku nichi desu.|今日は十九日です。|Today is the 19 of the month.|Aujourd'hui est le 19 du mois.|Hoy es el 19 del mes.|
39|kyou wa hatsuka desu.|今日は二十日です。|Today is the 20 of the month.|Aujourd'hui est le 20 du mois.|Hoy es el 20 del mes.|
40|kyou wa nijuuichi nichi desu.|今日は二十一日です。|Today is the 21 of the month.|Aujourd'hui est le 21 du mois.|Hoy es el 21 del mes.|
41|kyou wa nijuuni nichi desu.|今日は二十二日です。|Today is the 22 of the month.|Aujourd'hui est le 22 du mois.|Hoy es el 22 del mes.|
42|kyou wa nijuusan nichi desu.|今日は二十三日です。|Today is the 23 of the month.|Aujourd'hui est le 23 du mois.|Hoy es el 23 del mes.|
43|kyou wa nijuuyokka desu.|今日は二十四日です。|Today is the 24 of the month.|Aujourd'hui est le 24 du mois.|Hoy es el 24 del mes.|
44|kyou wa nijuugo nichi desu.|今日は二十五日です。|Today is the 25 of the month.|Aujourd'hui est le 25 du mois.|Hoy es el 25 del mes.|
45|kyou wa nijuuroku nichi desu.|今日は二十六日です。|Today is the 26 of the month.|Aujourd'hui est le 26 du mois.|Hoy es el 26 del mes.|
46|kyou wa nijuushichi nichi desu.|今日は二十七日です。|Today is the 27 of the month.|Aujourd'hui est le 27 du mois.|Hoy es el 27 del mes.|
47|kyou wa nijuuhachi nichi desu.|今日は二十八日です。|Today is the 28 of the month.|Aujourd'hui est le 28 du mois.|Hoy es el 28 del mes.|
48|kyou wa nijuuku nichi desu.|今日は二十九日です。|Today is the 29 of the month.|Aujourd'hui est le 29 du mois.|Hoy es el 29 del mes.|
49|kyou wa sanjuu nichi desu.|今日は三十日です。|Today is the 30 of the month.|Aujourd'hui est le 30 du mois.|Hoy es el 30 del mes.|
50|kyou wa sanjuuichi nichi desu.|今日は三十一日です。|Today is the 31 of the month.|Aujourd'hui est le 31 du mois.|Hoy es el 31 del mes.|
51|kyou wa getsuyoubi nanode toshokan wa yasumi desu|今日は月曜日なので図書館は休みです。|Today is Sunday, so the library is in recess.|Aujourd'hui est dimanche, donc (l'accès à) la bibliothèque est suspendu.|Hoy es domingo, entoncés (el accesso a) la biblioteca está suspendida.|
52|getsuyoubi wa isogashii desu.|月曜日和忙しいです。|Monday I'm busy.|Lundi je suis occupé.|El lunes estoy ocupado.|
53|kyou wa kayoubi desu.|今日は火曜日です。|Today is Tuesday.|Aujourd'hui c'est mardi ..|Hoy es martes.|
54|suiyoui ni supootsujimu ni ikimasu.|水曜日にスポーツジムに行きます。|I go to the gym on Wednesday.|Je vais à la salle de gym mercredi.|Voy al gimnasio el miércoles.|
55|mokuyoubi ni aimashou.|木曜日に会いましょう。|We should meet on Thursday.|Nous devrions nous réunir jeudi.|Debemos conocer el jueves.|
56|kinyoubi ni aimashou.|金曜日に会いましょう。|We should meet on Friday.|Nous devrions nous réunir vendredi.|Debemos conocer el viernes.|
57|doyoubi wa yasumi desu.|土曜日は休みです。|Saturday is a rest day.|Le samedi est un jour de repos.|El sábado es un día de descanso.|
58|ichinen inai ni repooto wo san kai dashite kudasai.|一年以内にレポートを三回出してください。|Please output three reports within a year.|S'il vous plaît faîtes trois rapports durant l'année.|Por favor, hace tres informes durante el año.|
59|kare wa nihon go ga hanaseru kamoshiremasen.|彼は日本語が話せるかもしれません。|He might be able to speak Japanese.|Il est peut-être en mesure de parler japonais.|Él podría ser capaz de hablar japonés.|
60|basu ryokou ga suki desu.|バス旅行が好きです。|I like bus trips.|J'aime les voyages en bus.|Me gustan los viajes en autobús.|
61|ryokou ni ikitai node okane wo tameteimasu.|旅行に行きたいのでお金をためています。|I want to go on a trip, therefore I am saving money.|Je veux aller en voyage, donc j'économise de l'argent.|Quiero ir en un viaje, por lo tanto estoy ahorrando dinero.|
62|sutereo no oto wo ookiku shimasu.|ステレオの音を大きくします。|He's turning up the volume on the stereo.|Il augmente le volume sur la chaîne hi-fi.|Está aumentando el volumen en el estéreo.|
63|ii koe desu ne?|いい声ですね？|Nice voice, eh?|Belle voix, hein?|Bonita voz, eh?|
64|mou minna neta hazu nanoni ikkai de monooto ga suru.|もうみんな寝たはずなのに一階で物音がする。|Everybody should have gone to bed already, but I hear something downstairs.|Tout le monde aurait dû déjà aller au lit, mais j'entends quelque chose en bas.|Todo el mundo ya debería haber ido a la cama, pero he oído algo de la planta baja.|
65|retsu no ushiro no hou ni tanaka san ga imasu.|列の後ろのほうに田中さんがいます。|Tanaka is at the end of the line.|Tanaka est à la fin de la ligne.|Tanaka está en el extremo de la línea.|
66|shiai tochuu de ame ga futta.|試合途中で雨が降った。|The rain fell in the middle of the game.|La pluie est tombée au milieu du jeu.|La lluvia caía en medio del juego.|
67|kore wa hontou desu ka?|これは本当ですか？|Is that the truth?|Est-ce la vérité?|Es la verdad?|
68|nihongo wo benyou shiteimasu.|日本語を勉強しています。|I'm studying the Japanese language.|J'étudie la langue japonaise.|Estoy estudiando el idioma japonés.|
69|eigo de hanashitemo ii desu ka?|英語で話してもいいですか？|Is it possible to speak English?|Est-il possible de parler anglais?|¿Es posible hablar Inglés?|
70|kare wa furansugo to doitsugo ga hanasemasu. Ato chuugokugo ga hanasemasu.|彼はフランス語とドイツ語が話せます。あと中国語が話せます。|He can speak french and german. He can also speak chinese.|Il parle le français et l'allemand. Il peut aussi parler le chinois.|Él puede hablar francés y alemán. También puede hablar chino.|
71|renshuu wa taisetsu desu.|練習は大切です。|Practice is important.|La pratique est importante.|La práctica es importante.|
72|ashita ii tenki dattara tenisu wo shimashou.|明日いい天気だったらテニスをしましょう。|If the weather tomorrow will be good we should play tenis.|Si la météo sera bonne demain, nous devrions jouer le tenis.|Si el tiempo será bueno mañana, deberíamos jugar tenis.|
73|ashita wa hare desu.|明日は晴れです。|There will be fair weather tomorrow.|Il fera beau demain.|Mañana habrá buen tiempo.|
74|hima datara tetsudatte kudasai.|暇だったら手伝ってください。|If you're free please lend a hand.|Si vous êtes libre s'il vous plaît donnez un coup de main.|Si estás libre, por favor da una mano.|
75|ima no kisetsu wa kondeiru sou desu ne.|今の季節は混んでいるそうですね。|As for the current season, it seems packed (with people).|En ce qui concerne la saison en cours, ça semble emballé (avec des gens).|En cuanto a la temporada actual, parece lleno (con gente).|
76|intaanetto de nyuusu wo yomimasu.|インターネットでニュースを読みます。|I read the news on the Internet.|J'ai lu les nouvelles sur l'Internet.|Leo las noticias en el Internet.|
77|kyou wa getsuyoubi nanode toshokan wa yasumi desu.|今日は月曜日なので図書館は休みです。|Today is Sunday, so the library is in recess.|Aujourd'hui est dimanche, donc (l'accès à) la bibliothèque est suspendu.|Hoy es domingo, entoncés (el accesso a) la biblioteca está suspendida.|
78|omoshiroi kotoba desu ne?|面白い言葉ですね？|This is an interesting word, isnt it?|C'est un mot intéressant, il nest pas?|Esta es una palabra interesante, ¿no es cierto?|
79|otoko no hito ga gonin imasu.|男の人が五人います。|There are five men.|Il y a cinq hommes.|Hay cinco hombres.|
80|onna no hito ga rokunin imasu.|女の人が六人ます。|There are three women.|Il y a trois femmes.|Hay tres mujeres.|
81|watashi wa kaisha ni kasa wo motte ikimasu.|私は会社に傘を持って行きます。|When I go to work I bring an umbrella.|Quand je vais au travail, j'apporte un parapluie.|Cuando voy al trabajo, llevo un paraguas.|
82|ryokougaisha ni tsutometeimasu.|旅行会社に勤めています。|I work at a travel agency.|Je travaille dans une agence de voyages.|Yo trabajo en una agencia de viajes.|
83|kochira ni namae wo kaite kudasai.|こちらに名前を書いてください。|Please write (your) name here.|S'il vous plaît écrivez (votre) nom ici.|Por favor, escribe (su) nombre aquí.|
84|denwa bangou wo machigaeta kamoshiremasen.|電話番号を間違えたかもしれません。|The phone number might be wrong.|Le numéro de téléphone peut-être faux.|El número de teléfono podría estar incorrecto.|
85|ima kuji han desu.|今九時半です。|It is now 9 and a half.|Il est maintenant 9 heures et demi.|Ahora es 9 y media.|
86|shukudai ga hanbun owarimasu.|宿題が半分終わります。|I finished half of the homework.|J'ai terminé la moitié des devoirs.|Que terminé la mitad de la tarea.|
87|tanjoubi wa itsu desu ka?|誕生日はいつですか？|When is your birthday?|C'est quand votre anniversaire?|¿Cuando es tu cumpleaños?|
88|paatii wa tanoshikunai node hayaku kaerimasu.|パーティは楽しくないので早く帰ります。|The party isn't fun so (let's) go home early.|La fête n'est pas amusante donc (allons) tôt à la maison.|La fiesta no es divertida entoncés (vamonos) a casa temprano.|
89|kinou tomodachi to eiga wo mimashita.|昨日友達と映画を見ました。|I saw a movie with my friends yesterday.|J'ai vu un film avec mes amis hier.|Vi una película con mis amigos de ayer.|
90|kaigi wa juu ji dewanakatta kamoshiremasen.|会議は１０時ではなかったかもしれません。|The meeting might not have been at 10 o'clock.|La réunion pourrait ne pas avoir été à 10 heures.|La reunión podría no haber sido a las 10 horas.|
91|shigoto wa omoshiroi desu ka?|仕事は面白いですか？|Is (your) work interesting?|Est-(votre) travail intéressant?|Es interesante (su) trabajo?|
92|ashita shiken ga aru node benkyou wo shinakereba narimasen.|明日試験があるので勉強をしなければなりません。|There's a test tomorrow, therefore I want to study.|Il y a un test demain, donc je veux étudier.|Hay una prueba de mañana, por lo tanto, quiero estudiar.|
93|ashita wa tesuto desu.|明日はテストです。|There's a test tomorrow.|Il y a un test demain.|Hay un examen mañana.|
94|watashi wa ryouri wo metta ni shimasen.|私は料理をめったにしません。|I almost never do any cooking.|Je ne fais presque jamais la cuisine.|Casi nunca hago cualquier cocina.|
95|kopii wo ichimai kudasai.|コピーを一枚ください。|One copy please.|Une copie s'il vous plaît.|Una copia por favor.|
96|sumimasen, kore wa furansu no kurasu desu ka? iie, nihon no desu. sumimasen, kurasu wo machigaimashita.|すみません，これはフランスのクラスですか？　いいえ，二本のです。　すみません，クラスを間違いました。|Excuse me, is this French class? No, this is Japanese class. Sorry, I mistook the classroom.|Excusez-moi, est-ce le cours de français? Non, c'est la classe japonaise. Désolé, j'ai confondu la salle de classe.|Perdone, es esta clase de francés? No, esta es la clase japonés. Lo sentimos, confundí el aula.|
97|kyou wa nihongo no jugyou ga arimasu.|今日は日本語の授業があります。|Today's class is of the Japanese language.|La classe d'aujourd'hui est sur la langue japonaise.|La clase de hoy es al la lengua japonesa.|
98|sensei wa kyoushitsu ni imasu.|先生は教室にいます。|The teacher is in the classroom.|L'enseignant est en classe.|El profesor esta en el aula.|
99|shukudai wo shimashita.|宿題をしました。|I did the homework.|J'ai fait les enseignements.|Hice la tarea.|
100|Maggie wa "onaka ga suita" to itta.|マギーは「お腹がすいた」と言った。|Maggie said that she was hungry.|Maggie a dit qu'elle avait faim.|Maggie dijo que tenía hambre.|
101|kore wa nan to iu inu desu ka?|これはなんという犬ですか？|What kind of dog is this?|Quel genre de chien est-ce?|¿Qué tipo de perro es este?|
102|kono inu wa Maggie to iu namae desu.|この犬はマギーという名前です。|This dog’s name is Maggie.|Le nom de ce chien est Maggie.|El nombre de ese perro es Maggie.|
103|nihon toiu kuni wa fushigi na kuni da.|日本という国は不思議な国だ。|Japan is a country that is mysterious.|Le Japon est un pays qui est mystérieux.|Japón es un país que es misterioso.|
104|Maggie wa kekkon shita toiu uwasa ga aru.|マギーは結婚したという噂がある。|There is rumor that Maggie got married.|Il y a une rumeur selon laquelle Maggie s'est mariée.|Hay rumores de que Maggie se casó.|
105||||||
106|omatsuri ya hanabidaikai wa gaikokujin ni ninki ga arimasu.|お祭りや花火大会は外国人に人気があります。|Festivals, fireworks and such are popular for foreigners.|Les festivals, feux d'artifice et autres sont très populaires pour les étrangers.|Festivales, fuegos artificiales y tales son populares para los extranjeros.|
107||||||
108||||||
109||||||
110|ichiban iimono wo erabimasu.|一番いい物を選びます。|I choose the best of the best.|Je choisis le meilleur des meilleurs.|Elijo el mejor de los mejores.|
111|omoshiroi hanashi desu ne.|面白い話ですね。|It’s an interesting story, eh?|Il est une histoire intéressante, hein?|Es una historia interesante, ¿verdad?|
112||||||
113||||||
114|macchi ga juupon arimasu.|マッチが１０本があります。|There are ten matches.|Il y a dix matches.|Hay diez partidos.|
115||||||
116||||||
117||||||
118||||||
119||||||
120||||||
121||||||
122||||||
123||||||
124||||||
125||||||
126||||||
127||||||
128||||||
129||||||
130||||||
131||||||
132||||||
133||||||
134||||||
135||||||
136|kore wa taisetsu na tegami nanode fairu shimasu.|これは大切な手紙なのでファイルします。|This is an important letter, so you file it.|Ceci est une lettre importante, donc déposez-la vous-même.|Esta es una carta importante, entoncés depositala tú mismo.|
137||||||
138||||||
139||||||
140||||||
141||||||
142|gasudai to denkidai wo haraimashita. Ato denwa ryoukin mo harawanakereba narimasen.|ガス代と電気代を払いました。あと電気料金も払わなければなりません。|I paid the gas and electricity bills. I also want to pay the phone charges.|J'ai payé les factures de gaz et d'électricité. Je tiens également à payer les frais de téléphone.|He pagado las facturas de gas y electricidad. También quiero que pagar los gastos de teléfono.|
143|kodutsumi wo koukuubin de okuru to isshukan gurai kakarimasu.|小包を航空便で送ると１週間ぐらいかかります。|I send the parcel by air mail so it should take about one week (to arrive).|J'envoye le colis par poste aérienne de sorte qu'il devrait prendre environ une semaine (pour arriver).|Envio el paquete por el correo aéreo por lo que debe tomar alrededor de una semana (para llegar).|
144|moushikomi wo suru youshi ni kinyuu shimasu.|申し込みをする用紙に記入します。|Fill out the blank form to do your application.|Remplissez le formulaire vide pour faire votre demande.|Rellene el formulario en blanco para hacer su solicitud.|
145|hokkaido tsuaa no nissu to kyuushuu tsu no nissu dono kurai chigaimasu ka? futsuka chigaimasu.|北海度ツアーの日数と九州ツアーの日数はどのくらい違いますか？二日違います。|Approximately how many days' difference is there between the Hokkaido tour and the Kyushu tour?|Environ combien de différence jours y a-t-il entre les visites de Hokkaido et de Kyushu?|Aproximadamente cuántos días de diferencia hay entre las giras deHokkaido y Kyushu?|
146|konojo to kare no nenrei wa dono kurai chigaimasu ka? hachi sai chigaimasu.|彼女と彼の年齢はどのくらい違いますか？八才違います。|By approximately how many classes do she and he differ? They differ by about 8 classes.|Par environ combien de classes elle et il diffèrent? Ils diffèrent par environ 8 classes.|Por aproximadamente cuántas clases do ella y él se diferencian? Se diferencian por cerca de 8 clases.|
147||||||
148||||||
149||||||
150|anshou bango wa nanbango demo ii desu. tatoeba 1111 demo ii desu.|暗証版後は何番後でもいいです。例えば１１１１でもいいです。|The passcode can be any number. For example, it can be 1111.|Le code d'accès peut être un nombre. Par exemple, il peut être 1111.|La contraseña puede ser cualquier número. Por ejemplo, puede ser 1111.|
151||||||
152||||||
153||||||
154||||||
155||||||
156||||||
157||||||
158||||||
159||||||
160||||||
161||||||
162||||||
163|futsukayoi de atama ga itai desu.|二日酔いで頭が痛いです。|My head hurts because of the hangover.|Ma tête me fait mal à cause de la gueule de bois.|Me duele la cabeza debido a la resaca.|
164||||||
165||||||
166||||||
167||||||
168||||||
169||||||
170||||||
171||||||
172||||||
173|ashita wa yasumi nanode tsuri ni ikimasu.|明日は休みなので釣りに行きます。|Tomorrow is a holiday so I will go fishing.|Demain est un jour férié alors je vais aller à la pêche.|Mañana es un día de fiesta así que va a ir a pescar.|
174||||||
175||||||
176||||||
177||||||
178||||||
179||||||
180||||||
181||||||
182||||||
183||||||
184||||||
185||||||
186||||||
187||||||
188||||||
189||||||
190||||||
191||||||
192||||||
193||||||
194||||||
195||||||
196||||||
197||||||
198||||||
199||||||
200||||||
201||||||
202||||||
203||||||
204||||||
205||||||
206||||||
207||||||
208||||||
209||||||
210||||||
211|kuro de kakimasu.|黒で買います。|I'm writing in black (ink).|J'écris en noir (encre).|Estoy escribiendo en negro (tinta).|
212||||||
213|sumimasen, kore wa furansu no kurasu desu ka? iie, nihon no desu. sumimasen, kurasu yaku machigaimashita.|すみません，これはフランスのクラスですか？　いいえ，二本のです。　すみません，クラス約間違いました。|Excuse me, is this French class? No, this is Japanese class. Sorry, I mistook the classroom.|Excusez-moi, est-ce le cours de français? Non, c'est la classe japonaise. Désolé, j'ai confondu la salle de classe.|Perdone, es esta clase de francés? No, esta es la clase japonés. Lo sentimos, confundí el aula.|
214||||||
215||||||
216||||||
217||||||
218||||||
219||||||
220||||||
221||||||
222||||||
223||||||
224||||||
225||||||
226||||||
227||||||
228||||||
229||||||
230||||||
231||||||
232||||||
233||||||
234||||||
235||||||
236||||||
237||||||
238||||||
239||||||
240||||||
241||||||
242||||||
243||||||
244||||||
245||||||
246||||||
247||||||
248||||||
249||||||
250||||||
251||||||
252||||||
253||||||
254||||||
255||||||
256||||||
257||||||
258||||||
259||||||
260||||||
261||||||
262||||||
263||||||
264||||||
265||||||
266||||||
267||||||
268||||||
269||||||
270||||||
271||||||
272||||||
273|biiru wo nanbonka kaimasu.|ビールを何本か買います。|I will buy some beers.|Je vais acheter quelques bières.|Voy a comprar algunas cervezas.|
274||||||
275||||||
276||||||
277||||||
278||||||
279||||||
280||||||
281||||||
282||||||
283||||||
284||||||
285||||||
286||||||
287||||||
288||||||
289||||||
290||||||
291||||||
292||||||
293||||||
294||||||
295||||||
296||||||
297||||||
298||||||
299||||||
300||||||
301||||||
302||||||
303||||||
304||||||
305||||||
306||||||
307||||||
308||||||
309||||||
310||||||
311||||||
312||||||
313||||||
314||||||
315||||||
316|kore wa kare no kasa kamoshiremasen.|これは彼の傘かもしれません。|This might be his umbrella.|Cela pourrait être son parapluie.|Esto podría ser su paraguas.|
317||||||
318||||||
319||||||
320||||||
321||||||
322||||||
323|shashin wo taisetsu ni shimasu.|写真を大切にします。|It makes the picture important.|Ça rend l'image importante.|Esto hace que la imagen sea importante.|
324||||||
325||||||
326||||||
327||||||
328||||||
329||||||
330||||||
331||||||
332||||||
333||||||
334||||||
335|watashi wa maeuriken ga kaemasu.|私は前売り券が買えます。|I can buy a ticket in advance.|Je peux acheter un billet à l'avance.|Puedo comprar un billete por andelantado.|
336||||||
337|kyou no shinbin ja nakute kinou no wo misete kudasai.|今日の新聞じゃなくて昨日のを見せてください。|Please show me yesterday's newspaper, not today's.|S'il vous plaît montrez-moi le journal d'hier, pas aujourd'hui.|Por favor, muéstrame el periódico de ayer, no hoy.|
338||||||
339||||||
340||||||
341||||||
342||||||
343||||||
344||||||
345||||||
346||||||
347||||||
348||||||
349||||||
350||||||
351||||||
352||||||
353||||||
354||||||
355||||||
356||||||
357||||||
358||||||
359||||||
360||||||
361||||||
362||||||
363||||||
364||||||
365||||||
366||||||
367||||||
368||||||
369||||||
370||||||
371||||||
372||||||
373||||||
374||||||
375||||||
376||||||
377||||||
378||||||
379||||||
380||||||
381||||||
382||||||
383||||||
384||||||
385||||||
386||||||
387||||||
388||||||
389||||||
390||||||
391||||||
392||||||
393||||||
394||||||
395||||||
396||||||
397||||||
398||||||
399||||||
400||||||
401||||||
402||||||
403||||||
404||||||
405||||||
406||||||
407||||||
408||||||
409||||||
410||||||
411||||||
412||||||
413||||||
414||||||
415||||||
416||||||
417||||||
418||||||
419||||||
420||||||
421||||||
422||||||
423|sono resutoran wa kondeiru node yoyaku wo shita hou ga ii desu.|そのレストラン運んでいるので予約をしたほうがいいです。|That restaurant is full, so it is best if we reserved (a table).|Ce restaurant est plein, il est donc préférable si nous réservions (une table).|Ese restaurante está lleno, por lo que es mejor si nos reservamos (una mesa).|
424||||||
425||||||
426||||||
427||||||
428||||||
429||||||
430||||||
431||||||
432||||||
433||||||
434||||||
435||||||
436||||||
437||||||
438||||||
439||||||
440||||||
441||||||
442||||||
443|sono kousaten no atari wa itsumo kondeimasu.|その交差点はいつも込んでいます。|That intersection is always full (of people).|Cette intersection est toujours pleine (de gens).|Esa intersección está siempre llena (de gente)|
444|kouen no atari de mou ichido kiite kudasai.|公園の辺りでもう一度聞いてください|Please ask one more time near the park.|S'il vous plaît demandez une fois de plus à proximité du parc.|Por favor, pregunte una vez más cerca del parque.|
445||||||
446||||||
447||||||
448||||||
449||||||
450||||||
451||||||
452||||||
453||||||
454||||||
455||||||
456||||||
457||||||
458||||||
459||||||
460||||||
461||||||
462||||||
463||||||
464|ginkou no ato no migi gawa ni hon ya ga arimasu.|銀行の後の右がわに本屋があります。|After the bank and to the right there is a book store.|Après la banque et à droite il y a un magasin de livres.|Después de que el banco ya la derecha hay una tienda de libros.|
465||||||
466||||||
467||||||
468||||||
469||||||
470||||||
471||||||
472||||||
473||||||
474||||||
475||||||
476||||||
477||||||
478||||||
479||||||
480||||||
481||||||
482||||||
483|shiken no toki ni waei no jisho wo tsukattemo ii desu ka? Iie, tsukatewa ikemasen.|試験のときに英和辞書を使ってもいいですか？　いいえ，使ってはいけません。|Is it all right to use an English-to-Japanese dictionary during the test? No, you may not.|Est-il permis d'utiliser un dictionnaire anglais-japonais lors de l'examen? Non, vous ne (le) pouvez pas..|¿Está permitido usar un diccionario Inglés-a-japonesa durante la prueba? No, no (lo) puede.|
484||||||
485||||||
486||||||
487||||||
488||||||
489||||||
490||||||
491||||||
492||||||
493||||||
494||||||
495||||||
496||||||
497||||||
498||||||
499||||||
500||||||
501||||||
502||||||
503||||||
504||||||
505||||||
506||||||
507|kanojo wa jazu ga suki kamoshiremasen.|彼女はじゃずが好きかもしれません。|She might like Jazz.|Elle pourrait aimer le jazz.|Puede ser que la gusta el jazz.|
508||||||
509||||||
510||||||
511||||||
512||||||
513||||||
514||||||
515||||||
516||||||
517||||||
518||||||
519||||||
520||||||
521||||||
522||||||
523||||||
524||||||
525||||||
526||||||
527||||||
528||||||
529||||||
530||||||
531||||||
532||||||
533||||||
534||||||
535||||||
536||||||
537||||||
538||||||
539||||||
540||||||
541||||||
542||||||
543||||||
544||||||
545||||||
546||||||
547||||||
548||||||
549||||||
550||||||
551||||||
552||||||
553||||||
554||||||
555||||||
556||||||
557||||||
558||||||
559||||||
560||||||
561||||||
562||||||
563||||||
564||||||
565||||||
566||||||
567||||||
568||||||
569||||||
570||||||
571||||||
572||||||
573||||||
574||||||
575||||||
576||||||
577||||||
578||||||
579||||||
580||||||
581||||||
582||||||
583||||||
584||||||
585||||||
586||||||
587||||||
588||||||
589||||||
590||||||
591||||||
592||||||
593||||||
594||||||
595||||||
596||||||
597||||||
598||||||
599||||||
600||||||
601||||||
602||||||
603||||||
604||||||
605||||||
606||||||
607||||||
608||||||
609||||||
610||||||
611||||||
612||||||
613||||||
614||||||
615||||||
616||||||
617||||||
618||||||
619||||||
620|jouzu na tsukuraikata.|上手な作り方。|He is proficient in the way he builds.|Il est compétent dans la façon dont il construit.|Él es experto en cómo construye.|
621||||||
622||||||
623||||||
624||||||
625||||||
626||||||
627||||||
628||||||
629||||||
