KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Extra keywords|
douzo goyukkuri, どうぞごゆっくり, take your time, |douzo goyukkuri|どうぞごゆっくり|take your time|Common Expressions||||1169||||
omatase shimashita, お待たせしました, sorry to have kept you waiting, |omatase shimashita|お待たせしました|sorry to have kept you waiting|Common Expressions||||1170||||
eetto, ええっと, let me see, well, |eetto|ええっと|let me see, well|Common Expressions||||1171||||
daijoubu desu, 大丈夫です, that'll be fine, |daijoubu desu|大丈夫です|that'll be fine|Common Expressions||||1172||||
onegai shimasu, お願いします, please help me, please, I'd like to ask you a favor, thank you, |onegai shimasu|お願いします|please help me, please, I'd like to ask you a favor, thank you|Common Expressions|||Used in a polite context|1173||||
futari tomo, 二人とも, both people, |futari tomo|二人とも|both people|Common Expressions||||1174||||
goshisousama deshita, ご思想さまでした, I appreciated the food, |goshisousama deshita|ご思想さまでした|I appreciated the food|Common Expressions||||1175||||
meshiagatte kudasai, 召し上がって下さい, please help yourself, |meshiagatte kudasai|召し上がって下さい|please help yourself|Common Expressions||||1176||||
chigaimasu, 違います, that's wrong, |chigaimasu|違います|that's wrong|Common Expressions||||1177||||
omachi kudasai, お待ち下さい, please wait, |omachi kudasai|お待ち下さい|please wait|Common Expressions||||1178||||
to moshimasu, ともします, my/their name is (polite), I am called, I'm called, is called, to mousu|to moshimasu|ともします|my/their name is (polite)|Common Expressions|||||||I am called, I'm called, is called, to mousu|
to yobareteimasu, と呼ばれています, is referred to as, to yobareteiru, is called, am called, と呼ばれている|to yobareteimasu|と呼ばれています|is referred to as|Common Expressions||||1362, 1363|||to yobareteiru, is called, am called, と呼ばれている|
wakatta no wa, わかったのは, from what I can tell, |wakatta no wa|わかったのは|from what I can tell|Common Expressions||||1179||||
michi michite iru, 満ち満ちている, full to the brim, |michi michite iru|満ち満ちている|full to the brim|Common Expressions||||||||
tsuite, ついて, with regards to, regarding, concerning, |tsuite|ついて|with regards to, regarding, concerning|Common Expressions||||||||
otsukaresama deshita, お疲れ様, thank you for the hard work, |otsukaresama deshita|お疲れ様|thank you for the hard work|Common Expressions||||1180||||
massaki, 真っ先, the very first, |massaki|真っ先|the very first|Common Expressions||||||||
douzo yoroshiku, どうぞよろしく, let there be good (respects), my best greetings, please favor me, |douzo yoroshiku|どうぞよろしく|let there be good (respects), my best greetings, please favor me|Common Expressions||||||||
go shoukai shimasu, ご紹介します, let me introduce you, |go shoukai shimasu|ご紹介します|let me introduce you|Common Expressions||||||||
itte rasshai, 行ってらっしゃい, go and come back (when leaving a home), |itte rasshai|行ってらっしゃい|go and come back (when leaving a home)|Common Expressions||||1181||||
itte kimasu, 行ってきます, I'm going and coming back (when leaving a home), |itte kimasu|行ってきます|I'm going and coming back (when leaving a home)|Common Expressions||||1182||||
tadaima, 只今, (I have returned) just now, I'm back, |tadaima|只今|(I have returned) just now, I'm back|Common Expressions||||1183||||
omedetou, お目出度う, congratulations, |omedetou|お目出度う|congratulations|Common Expressions||||||||
omedetou gozaimasu, お目出度うございます, congratulations, |omedetou gozaimasu|お目出度うございます|congratulations|Common Expressions||||1184||||
odaiji ni, お大事に, take care, |odaiji ni|お大事に|take care|Common Expressions||||1185||||
mou ichido onegaishimasu, もう一度, once more, |mou ichido onegaishimasu|もう一度|once more|Common Expressions||||1186, 1353||||
chotto matte kudasai, ちょっと待ってください, please wait a little, |chotto matte kudasai|ちょっと待ってください|please wait a little|Common Expressions||||1187||||
osakini shitsurei shimasu, お先に失礼します, pardon (my leaving ahead), excuse me, goodbye, |osakini shitsurei shimasu|お先に失礼します|pardon (my leaving ahead), excuse me, goodbye|Common Expressions||||1188||||
douzo osakini, どうぞお先に, please (go) ahead, |douzo osakini|どうぞお先に|please (go) ahead|Common Expressions||||1189||||
ki o tsukete, 気をつけて, take care (of yourself), |ki o tsukete|気をつけて|take care (of yourself)|Common Expressions||||1190||||
dame desu, だめです, out of the question, impossible, no good, |dame desu|だめです|out of the question, impossible, no good|Common Expressions||||1191||||
ganbatte kudasai, 頑張ってください, please do your best (encouragement), |ganbatte kudasai|頑張ってください|please do your best (encouragement)|Common Expressions||||1192||||
ganbarimasu, 頑張ります, I'll do my best, |ganbarimasu|頑張ります|I'll do my best|Common Expressions||||1193||||
eigyouchou, 営業中, open now (store), |eigyouchou|営業中|open now (store)|Common Expressions||||||||
junbichou, 準備中, preparing to open/closed for the day (store), |junbichou|準備中|preparing to open/closed for the day (store)|Common Expressions||||||||
kyuugouchou, 休業中, closed, no longer in business, |kyuugouchou|休業中|closed, no longer in business|Common Expressions||||||||
usetsu kinshi, 右折禁止, no right turn, |usetsu kinshi|右折禁止|no right turn|Common Expressions||||1194||||
sasetsu kinshi, 左折禁止, no left turn, |sasetsu kinshi|左折禁止|no left turn|Common Expressions||||1195||||
ippou tsuu kouro, 一方通行路, one way street, |ippou tsuu kouro|一方通行路|one way street|Common Expressions||||1196||||
tachiiri kinshi, 立入禁止, no admittance, |tachiiri kinshi|立入禁止|no admittance|Common Expressions||||1197||||
chuusha kinshi, 駐車禁止, no parking, |chuusha kinshi|駐車禁止|no parking|Common Expressions||||1198||||
gomi wo sutenaidekudasai, ゴミを捨てないで下さい, please do not litter, |gomi wo sutenaidekudasai|ゴミを捨てないで下さい|please do not litter|Common Expressions||||1199||||
te wo furenaide kudasai, 手をふれないで下さい, please do not touch, |te wo furenaide kudasai|手をふれないで下さい|please do not touch|Common Expressions||||1200||||
shibafu no naka ni hairanaide kudasai, 芝生の中に入らないで下さい, please keep off the grass, |shibafu no naka ni hairanaide kudasai|芝生の中に入らないで下さい|please keep off the grass|Common Expressions||||1201||||
kin'en, 禁煙, no smoking, |kin'en|禁煙|no smoking|Common Expressions||||1202||||
kouji chuu, 工事中, under construction, |kouji chuu|工事中|under construction|Common Expressions||||1203||||
okagesamade, お陰様で, thank you, |okagesamade|お陰様で|thank you|Common Expressions||||1204||||
maigo ni naru, 迷子になる, to get lost, to lose one's way, |maigo ni naru|迷子になる|to get lost, to lose one's way|Common Expressions||||||||
komatte shimatte, 困ってしまって, got stuck and there is no way back, |komatte shimatte|困ってしまって|got stuck and there is no way back|Common Expressions||||1205||||
datta kotoga arimasu, だったことがあります, I happened to be, |datta kotoga arimasu|だったことがあります|I happened to be|Common Expressions||||||||
itsu no manika, 何時の間にか, before I knew it, without noticing it, |itsu no manika|何時の間にか|before I knew it, without noticing it|Common Expressions||||||||
sukunakutemo, 少なくても, at the very least, |sukunakutemo|少なくても|at the very least|Common Expressions||||||||
nodo ga kawaita, のどが渇いた, I'm thirsty (my throat is dry), |nodo ga kawaita|のどが渇いた|I'm thirsty (my throat is dry)|Common Expressions||||1206||||
okiniiri no …, お気に入りの..., my favorite ..., |okiniiri no …|お気に入りの...|my favorite ...|Common Expressions||Literally means "enters my spirit".||1207||||
ki ni suru, 気にする, it is very important (to someone), |ki ni suru|気にする|it is very important (to someone)|Common Expressions||||||||
ippanteki, いっぱんてき, like everyone, in a normal fashion, |ippanteki|いっぱんてき|like everyone, in a normal fashion|Common Expressions||||||||
odaiji ni, お大事に, get well soon, |odaiji ni|お大事に|get well soon|Common Expressions||||1208||||
iu made mo nai, 言うまでもない, it goes without saying, |iu made mo nai|言うまでもない|it goes without saying|Common Expressions||||1209||||
yorokonde, 喜んで, with pleasure, |yorokonde|喜んで|with pleasure|Common Expressions||||1210||||
minna sama, みんな様, ladies and gentlemen, |minna sama|みんな様|ladies and gentlemen|Common Expressions||||||||
sou desu ka, そう ですか?, ah, ok, |sou desu ka|そう ですか?|ah, ok|Common Expressions||||1211||||
sousou, そうそう, come to think of it, |sousou|そうそう|come to think of it|Common Expressions||||1212||||
tokoro de, ところで, by the way, |tokoro de|ところで|by the way|Common Expressions||||1213||||
tokoro de, ところで, well now, |tokoro de|ところで|well now|Common Expressions||||1214||||
kamo shirenai, かも知れない, maybe, possibly, perhaps, seems to do/be, kamo shiremasen, might do, may do, may be, probably, seems to do|kamo shirenai|かも知れない|maybe, possibly, perhaps, seems to do/be|Common Expressions||Literally means "cannot be known".|X kamo shirenai @ X = verb plain form (incl. plain neg. or past)|1215, 751, 1216|||kamo shiremasen, might do, may do, may be, probably, seems to do|
|||||||X kamo shirenai da @ X = i-adj.|842||||
|||||||X kamo shirenai da @ X = na-adj.|||||
|||||||X kamo shirenai da @ X = noun|316, 507||||
ja nai kamo shirenai, じゃないかも知れない, maybe not, possibly not, ja nai kamo shiremasen|ja nai kamo shirenai|じゃないかも知れない|maybe not, possibly not|Common Expressions|||||||ja nai kamo shiremasen|
ii combi, いいコンビ, good combination, |ii combi|いいコンビ|good combination|Common Expressions||||1217||||
tatoeba, 例えば, for example, e.g., |tatoeba|例えば|for example, e.g.|Common Expressions||||152||||
taisetsu ni shimasu, 大切にします, hold it carefully because it is important, |taisetsu ni shimasu|大切にします|hold it carefully because it is important|Common Expressions||||||||
jitsuwa, 実は, as a matter of fact, by the way, to tell you the truth, to be honest, frankly, the story is, jitsuha|jitsuwa|実は|as a matter of fact, by the way, to tell you the truth, to be honest, frankly, the story is|Common Expressions|||||||jitsuha|
toiu no wa, というのは, when you say …, means, is, because, that is to say, toiu no wa, tte|toiu no wa|というのは|when you say …, means, is, because, that is to say|Common Expressions||Use "tte" instead of "toiu no wa" in colloquial speech.||152|||toiu no wa, tte|
no koto, のこと, is what (I) mean, |no koto|のこと|is what (I) mean|Common Expressions||||1219||||
kinensha, 記念車, non-smoking car, |kinensha|記念車|non-smoking car|Common Expressions||||387||||
oto wo ookiku suru, 音を大きくする, turn up the volume, |oto wo ookiku suru|音を大きくする|turn up the volume|Common Expressions||||62||||
dekireba, できれば, if possible, |dekireba|できれば|if possible|Common Expressions||||||||
||||||||||||
||||||||||||
kono hen, この辺, near here, |kono hen|この辺|near here|Common Expressions||||1222||||
mata raishuu, また来週, again next week, |mata raishuu|また来週|again next week|Common Expressions||||1223||||
moshi moshi, もしもし, hello (telephone), |moshi moshi|もしもし|hello (telephone)|Common Expressions||||465||||
itadakimasu, 頂ます, let's eat, bon appetit, enjoy the meal, enjoy your meal|itadakimasu|頂ます|let's eat, bon appetit, enjoy the meal|Common Expressions|||||||enjoy your meal|
ogenki de, お元気で, take care of yourself, |ogenki de|お元気で|take care of yourself|Common Expressions||||||||
gochisousama deshita, ご馳走様でした, I've enjoyed my meal very much, |gochisousama deshita|ご馳走様でした|I've enjoyed my meal very much|Common Expressions||||||||
ochira koso, おちらこそ, it is me, not you, |ochira koso|おちらこそ|it is me, not you|Common Expressions||||||||
gomen kudasai, 御免下さい, may I come in, |gomen kudasai|御免下さい|may I come in|Common Expressions||||||||
gomen nasai, 御免なさい, sorry, |gomen nasai|御免なさい|sorry|Common Expressions||||||||
setsurei shimashita, 雪嶺しました, I am sorry to have been rude, |setsurei shimashita|雪嶺しました|I am sorry to have been rude|Common Expressions||||||||
setsurei shimasu, 雪嶺します, excuse me, |setsurei shimasu|雪嶺します|excuse me|Common Expressions||||||||
doumo, どうも, thanks, thank you, |doumo|どうも|thanks, thank you|Common Expressions||||||||
doumo arigatou, どうも, thanks a lot, thank you very much|doumo arigatou|どうも|thanks a lot|Common Expressions|||||||thank you very much|
yoroshiku onegaishimasu, 宜しくお願いします, lit. it is well, please (help) me, |yoroshiku onegaishimasu|宜しくお願いします|lit. it is well, please (help) me|Common Expressions||Nice to meet you.|Use "kochira koso" in reply.|1224||||
||||||Regards.||1225||||
||||||Thanks in advance / I'm counting on you / I'm in your debt. (used with respect to co-workers)||||||
||||||Please be kind to me / treat me well.||1226||||
ojamashimasu, おじゃまします, Greetings / Sorry for disturbing you, |ojamashimasu|おじゃまします|Greetings / Sorry for disturbing you|Common Expressions|||When apologizing.|1227||||
||||||Said when entering someone's home.||1228||||
bakari dewa naku, ばかりではなく, ばかりじゃなく, not only, bakari ja naku, bakkari ja naku, bakashi ja naku, bakkashi ja naku, bakkari dewa naku, bakashi dewa naku, bakkashi dewa naku|bakari dewa naku|ばかりではなく, ばかりじゃなく|not only|Common Expressions|||X bakari dewa naku|1229|||bakari ja naku, bakkari ja naku, bakashi ja naku, bakkashi ja naku, bakkari dewa naku, bakashi dewa naku, bakkashi dewa naku|
dake dewa naku, bakari ja naku, ばかりではなく, ばかりじゃなく, not only, |dake dewa naku, bakari ja naku|ばかりではなく, ばかりじゃなく|not only|Common Expressions||||1206||||
sugu yoku naru, すぐよくなる, it will be ok soon, |sugu yoku naru|すぐよくなる|it will be ok soon|Common Expressions||||||||
shaawaa wo ofurimasu., シャーわーをお降る, taking a shower, |shaawaa wo ofurimasu.|シャーわーをお降る|taking a shower|Common Expressions||||1230||||
nano desu, nan desu, なのです, that is so, |nano desu, nan desu|なのです|that is so|Common Expressions||Colloquial form of "no desu", used in speech only.||1231||||
zamaa miro, 様あ見ろ, it serves you right, |zamaa miro|様あ見ろ|it serves you right|Common Expressions||Colloquial||||||
ikuzo, ikuze, 行くぜ, let's go, are you ready yet, |ikuzo, ikuze|行くぜ|let's go, are you ready yet|Common Expressions||||||||
yoi ka, ii ka, よいか, いいか, okay?, |yoi ka, ii ka|よいか, いいか|okay?|Common Expressions||||||||
nakarou, なかろう, probably not so, |nakarou|なかろう|probably not so|Common Expressions||||||||
jan, じゃん, isn't it?, jiyan|jan|じゃん|isn't it?|Common Expressions||Colloquial (slang), contraction of "ja nai".|||||jiyan|
masaka, 真坂, by no means, never, you don't say, certainly (not), it can't be, |masaka|真坂|by no means, never, you don't say, certainly (not), it can't be|Common Expressions||||||||
kashiko, 賢, yours sincerely, respectfully yours, |kashiko|賢|yours sincerely, respectfully yours|Common Expressions||||||||
kashikomarimashita, 畏まりました, certainly, |kashikomarimashita|畏まりました|certainly|Common Expressions||||||||
dou yatte, どうやって, how, in what way, by what means, |dou yatte|どうやって|how, in what way, by what means|Common Expressions||||||||
yappari, yahari, 矢っ張り, 矢張り, as I though, also, still, in spite of, absolutely, of course, yappa, yappashi, 矢っ張, 矢っ張し|yappari, yahari|矢っ張り, 矢張り|as I though, also, still, in spite of, absolutely, of course|Common Expressions|||||||yappa, yappashi, 矢っ張, 矢っ張し|
fuzaken na yo, fuzaken ja, ふざけんなよ, ふざけんじゃ, stop bulls***ting me, you're kidding me, you're full of s***, stop bullshitting me, you're full of shit|fuzaken na yo, fuzaken ja|ふざけんなよ, ふざけんじゃ|stop bulls***ting me, you're kidding me, you're full of s***|Common Expressions|||||||stop bullshitting me, you're full of shit|
do no you, どの様, 何の様, how, |do no you|どの様, 何の様|how|Common Expressions||||||||
soreha, sorya, soryaa, それは, そりゃ, そりゃあ, that is…, |soreha, sorya, soryaa|それは, そりゃ, そりゃあ|that is…|Common Expressions||||||||
taishite, 対して, for, in regard to, per, |taishite|対して|for, in regard to, per|Common Expressions||||||||
daro, darou, だろ, だろう, don't you agree, I thought you'd say that, |daro, darou|だろ, だろう|don't you agree, I thought you'd say that|Common Expressions||||||||
sou demo nai desu, そうでもないです, that is not necessarily so, not really|sou demo nai desu|そうでもないです|that is not necessarily so|Common Expressions|||||||not really|
aka san, 赤さん, baby, newborn, |aka san|赤さん|baby, newborn|Common Expressions||Literally means "Mr./Mrs. red", in reference to the color of a newborn.||||||
hotondonai, 殆どない, almost never, few and far between, little or nothing, hardly any, hardly anything at all, very little, |hotondonai|殆どない|almost never, few and far between, little or nothing, hardly any, hardly anything at all, very little|Common Expressions||||||||
jinkouni kaisha suru, 人口に膾炙する, to be famous, to be on everyone's lips, to be well-known, |jinkouni kaisha suru|人口に膾炙する|to be famous, to be on everyone's lips, to be well-known|Common Expressions||||||||
yoru to, 依ると, according to, に依ると, ni yoru to|yoru to|依ると|according to|Common Expressions||||1255, 1256|||に依ると, ni yoru to|
ni naru, になる, it costs, ni narimasu|ni naru|になる|it costs|Common Expressions|||||||ni narimasu|
uso, 嘘, really!, unbelievable!, no way!, you must be kidding, |uso|嘘|really!, unbelievable!, no way!, you must be kidding|Common Expressions||Literally means "it's a lie".||||||
itsumo to chigau, いつもと違う, unlike always, |itsumo to chigau|いつもと違う|unlike always|Common Expressions||Used in a colloquial manner.||||||
sono tame ni, その為に, for this purpose, |sono tame ni|その為に|for this purpose|Common Expressions||||1269||||
sonna koto nai n deshou, そんなことないんでしょう, that's not it at all, |sonna koto nai n deshou|そんなことないんでしょう|that's not it at all|Common Expressions||"deshou" or "darou" replaces "desu yo" in common speech.||||||
sono toori, そのとおり, what (he) said, |sono toori|そのとおり|what (he) said|Common Expressions||||||||
mou sugu, もう直ぐ, very soon, |mou sugu|もう直ぐ|very soon|Common Expressions||||||||
dekiru dake, 出来るだけ, as much as (I) can, as much as possible, if at all possible, |dekiru dake|出来るだけ|as much as (I) can, as much as possible, if at all possible|Common Expressions||||1293, 1294||||
minna sou iu, みんなそう言う, everyone says so, minna sou imasu, みんなそう言ます|minna sou iu|みんなそう言う|everyone says so|Common Expressions|||||||minna sou imasu, みんなそう言ます|
inaku naru, いなくなる, to disappear, to stop being, to leave, |inaku naru|いなくなる|to disappear, to stop being, to leave|Common Expressions||||||||
tondemonai, とんでもない, absolutely not, not at all, far from it, impossible, preposterous, bullshit, no way, |tondemonai|とんでもない|absolutely not, not at all, far from it, impossible, preposterous, bullshit, no way|Common Expressions||||||||
shigatta ga nai, しがったがない, nothing can be done (about it), |shigatta ga nai|しがったがない|nothing can be done (about it)|Common Expressions||||||||
dou ka shimashita ka, どうかしましたか？, Is something wrong?, |dou ka shimashita ka|どうかしましたか？|Is something wrong?|Common Expressions||||1344||||
kaze wo hiku, 風邪をひく, to get sick, to catch a cold, |kaze wo hiku|風邪をひく|to get sick, to catch a cold|Common Expressions||||||||
neko jita, 猫舌, dislike of very hot food or drink, inability to take hot food, |neko jita|猫舌|dislike of very hot food or drink, inability to take hot food|Common Expressions||Usually used to describe a person with this limitation.||||||
esa wo yaru, 餌をやる, to feed animals, |esa wo yaru|餌をやる|to feed animals|Common Expressions||||||tabesaseru||
tabesaseru, 食べさせる, to feed humans, |tabesaseru|食べさせる|to feed humans|Common Expressions||||||esa wo yaru||
garan ni naru, 伽藍になる, to watch, |garan ni naru|伽藍になる|to watch|Common Expressions||Used in a polite setting.||||伽藍になります, garan ni narimasu||
dou datta, どうだった, how was it?, |dou datta|どうだった|how was it?|Common Expressions||||||||
dou deshita ka, どうでしたか, how was it?, |dou deshita ka|どうでしたか|how was it?|Common Expressions||||||||
shikataganai, 仕方がない, there's nothing one can do, shikatanai|shikataganai|仕方がない|there's nothing one can do|Common Expressions||||1353||nothing to do, nothing I can do, nothing you can do|shikatanai|
tsudukete kudasai, 続けてください, please go on, |tsudukete kudasai|続けてください|please go on|Common Expressions||||||tsuzukete kudasai||
dono onaka ga suita, どのお腹がすいた, how hungry are you, |dono onaka ga suita|どのお腹がすいた|how hungry are you|Common Expressions||||||||
shumi ga warui, 趣味が悪い, (he) has bad taste, (he) has bad fashion sense, |shumi ga warui|趣味が悪い|(he) has bad taste, (he) has bad fashion sense|Common Expressions||||||||
naruhodo, 成程, I see, that's right, indeed, 成る程|naruhodo|成程|I see, that's right, indeed|Common Expressions|||||||成る程|
nante, 何て, how…!, what…!, what?, |nante|何て|how…!, what…!, what?|Common Expressions||||||||
mattaku, 全く, good grief (expression of exasperation), |mattaku|全く|good grief (expression of exasperation)|Common Expressions||||||||
soroimosorotte, 揃いも揃って, every one of…, |soroimosorotte|揃いも揃って|every one of…|Common Expressions||||||||
teiuka, ていうか, I mean…, |teiuka|ていうか|I mean…|Common Expressions||Used at the beginning of a sentence.||||||
ki ni naru, 気になる, to be on one's mind, to worry one, to care about, to be bothered by, to feel uneasy, to be anxious, to feel inclined, |ki ni naru|気になる|to be on one's mind, to worry one, to care about, to be bothered by, to feel uneasy, to be anxious, to feel inclined|Common Expressions||||||||
toiu koto da, ということ, I've heard that, rumour has it that, it appears as if, it appears to be|toiu koto da|ということ|I've heard that, rumour has it that, it appears as if|Common Expressions|||||||it appears to be|
toiu koto wa nai, ということはない, it is not possible, there is no such thing as, toiu koto ha nai, it is impossible|toiu koto wa nai|ということはない|it is not possible, there is no such thing as|Common Expressions|||||||toiu koto ha nai, it is impossible|
shikanai, しかない, have no choice, |shikanai|しかない|have no choice|Common Expressions||||||||
mitte miru, 見て見る, (I) will check and see, 見てみる|mitte miru|見て見る|(I) will check and see|Common Expressions||||1392|||見てみる|
toshite, として, as (in the role of), for (from the viewpoint of), apart from, (not) even, thinking that, trying to, |toshite|として|as (in the role of), for (from the viewpoint of), apart from, (not) even, thinking that, trying to|Common Expressions||||||||
tsugi kara tsugi, 次から次, one after the other, one after another|tsugi kara tsugi|次から次|one after the other|Common Expressions|||||||one after another|
ha wo migaku, 歯を磨く, to brush (one's teeth), to brush teeth|ha wo migaku|歯を磨く|to brush (one's teeth)|Common Expressions|||||||to brush teeth|
tsuuyou shinai, 通用しない, to not apply, to be proof against, |tsuuyou shinai|通用しない|to not apply, to be proof against|Common Expressions||||||||
okeru, 於ける, in, at, for, |okeru|於ける|in, at, for|Common Expressions||||||||
sasuga, 流石, as one would expect, |sasuga|流石|as one would expect|Common Expressions||||||||
oide, お出で, come, go, stay, |oide|お出で|come, go, stay|Common Expressions||Used as an imperative, usu. To children or one's inferiors.||||||
denwa wo kakeru, 電話を掛ける, to make a phone call, to call (on the phone), |denwa wo kakeru|電話を掛ける|to make a phone call, to call (on the phone)|Common Expressions||Used as an imperative, usu. To children or one's inferiors.||||||
kaisha wo yameru, 会社を辞める, to stop working at a company, to quit, to resign, |kaisha wo yameru|会社を辞める|to stop working at a company, to quit, to resign|Common Expressions||||830, 1408||||
osewa ni naru, お世話になる, to receive favor, to be much obliged to someone, to be indebted, to be grateful, |osewa ni naru|お世話になる|to receive favor, to be much obliged to someone, to be indebted, to be grateful|Common Expressions||||||||
tanoshii ni suru, 楽しいにする, I'm looking forward (to it), |tanoshii ni suru|楽しいにする|I'm looking forward (to it)|Common Expressions||||||||
kyuuka wo toru, 休暇をとる, to take a vacation, to go on vacation, |kyuuka wo toru|休暇をとる|to take a vacation, to go on vacation|Common Expressions||||||||
yamu wo enai, やむを得ない, cannot be helped, unavoidable, |yamu wo enai|やむを得ない|cannot be helped, unavoidable|Common Expressions||||||||
chirari to miru, ちらりと見る, to take a fleeting glance at, to take a quick look at, |chirari to miru|ちらりと見る|to take a fleeting glance at, to take a quick look at|Common Expressions||||||||
dai ni ji sekai taisen, 第二次世界大戦, The Second World War, |dai ni ji sekai taisen|第二次世界大戦|The Second World War|Common Expressions||||||||
shitsumon wo suru, 質問をする, to pose a question, to ask questions, |shitsumon wo suru|質問をする|to pose a question, to ask questions|Common Expressions||||||setsumon suru||
taigaku ni naru, 退学になる, to get expelled, |taigaku ni naru|退学になる|to get expelled|Common Expressions||||||||
kanousei ga takai, 可能性が高い, very likely, very probable, |kanousei ga takai|可能性が高い|very likely, very probable|Common Expressions||||||||
tashika, 確か, I'm quite sure that, if I'm not mistaken, if I remember correctly, |tashika|確か|I'm quite sure that, if I'm not mistaken, if I remember correctly|Common Expressions||||||||
doushit n desu ga, どうしたんですが, what's wrong?, |doushit n desu ga|どうしたんですが|what's wrong?|Common Expressions||||1424||||
sou ka naa, そうかなあ, I wonder, |sou ka naa|そうかなあ|I wonder|Common Expressions||||||||
sono mama, そのまま, (let it be) as it is, |sono mama|そのまま|(let it be) as it is|Common Expressions||||||||
kao wo shiteiru, 顔をしている, to make a face, |kao wo shiteiru|顔をしている|to make a face|Common Expressions||||1422||||
sore ga, それが, now that you mention it, well in fact, |sore ga|それが|now that you mention it, well in fact|Common Expressions||||1424||||
tokei wo suru, 時計をする, to wear  watch, |tokei wo suru|時計をする|to wear  watch|Common Expressions||||1425||||
uso wo tsuku, 嘘を付く, to tell a lie, to lie, |uso wo tsuku|嘘を付く|to tell a lie, to lie|Common Expressions||||||||
dou shimasuka, どうしますか, what will you do?, |dou shimasuka|どうしますか|what will you do?|Common Expressions||||||||
ni dearu, にである, to meet by chance, |ni dearu|にである|to meet by chance|Common Expressions||Different from "ni au" (to meet by plan).||||||
densha wo oriru, 電車を降りる, to get off the train, |densha wo oriru|電車を降りる|to get off the train|Common Expressions||||||||
kibun ga warui desu, 気分が悪いです, (I) am not feeling well, |kibun ga warui desu|気分が悪いです|(I) am not feeling well|Common Expressions||||||||
memai ga shimasu, 目眩がします, (I) am feeling dizzy, |memai ga shimasu|目眩がします|(I) am feeling dizzy|Common Expressions||||||||
kushami ga deru, くしゃみが出る, (I) sneezed, |kushami ga deru|くしゃみが出る|(I) sneezed|Common Expressions||||||||
