KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
tsuyoi, 強い, strong, tsuyo, tsuyokunai, tsuyokatta, tsuyokunakatta, tsuyokute, tsuyomi, tsuyokereba, tsuyokarou, |tsuyoi|強い|strong|Adjective (i-keiyoushi)||||520, 1321|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|joubu, kyouryoku|tsuyo, tsuyokunai, tsuyokatta, tsuyokunakatta, tsuyokute, tsuyomi, tsuyokereba, tsuyokarou|
yowai, 弱い, weak, frail, delicate, tender, unskilled, yowa, yowakunai, yowakatta, yowakunakatta, yowakute, yowami, yowakereba, yowakarou, |yowai|弱い|weak, frail, delicate, tender, unskilled|Adjective (i-keiyoushi)||||521|tsuyoi, joubu|hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|yowa, yowakunai, yowakatta, yowakunakatta, yowakute, yowami, yowakereba, yowakarou|
hiyowai, ひ弱い, weak, sickly, hiyowa, hiyowakunai, hiyowakatta, hiyowakunakatta, hiyowakute, hiyowami, hiyowakereba, hiyowakarou, |hiyowai|ひ弱い|weak, sickly|Adjective (i-keiyoushi)|||||tsuyoi, joubu|yowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|hiyowa, hiyowakunai, hiyowakatta, hiyowakunakatta, hiyowakute, hiyowami, hiyowakereba, hiyowakarou|
atarashii, 新しい, new, fresh, atarashi, atarashikunai, atarashikatta, atarashikunakatta, atarashikute, atarashimi, atarashikereba, atarashikarou, |atarashii|新しい|new, fresh|Adjective (i-keiyoushi)||||522|furui|arata, wakai|atarashi, atarashikunai, atarashikatta, atarashikunakatta, atarashikute, atarashimi, atarashikereba, atarashikarou|
furui, 古い, old, not fresh, late, furu, furukunai, furukatta, furukunakatta, furukute, furumi, furukereba, furukarou, |furui|古い|old, not fresh, late|Adjective (i-keiyoushi)||||523|atarashii, wakai||furu, furukunai, furukatta, furukunakatta, furukute, furumi, furukereba, furukarou|
muzukashii, 難しい, difficult, hard, complicated, troublesome, muzukashi, muzukashikunai, muzukashikatta, muzukashikunakatta, muzukashikute, muzukashimi, muzukashikereba, muzukashikarou, |muzukashii|難しい|difficult, hard, complicated, troublesome|Adjective (i-keiyoushi)||||524|yasashii, kantan|nikui, taihen|muzukashi, muzukashikunai, muzukashikatta, muzukashikunakatta, muzukashikute, muzukashimi, muzukashikereba, muzukashikarou|
nikui, 難い, difficult, hard, niku, nikukunai, nikukatta, nikukunakatta, nikukute, nikumi, nikukereba, nikukarou, katai, gatai|nikui|難い|difficult, hard|Adjective (i-keiyoushi)|||||yasashii, kantan|muzukashii, taihen|niku, nikukunai, nikukatta, nikukunakatta, nikukute, nikumi, nikukereba, nikukarou|
tooi, 遠い, far, distant, too, tookunai, tookatta, tookunakatta, tookute, toomi, tookereba, tookarou, |tooi|遠い|far, distant|Adjective (i-keiyoushi)||||525, 1265|chikai||too, tookunai, tookatta, tookunakatta, tookute, toomi, tookereba, tookarou|
chikai, 近い, nearby, chika, chikakunai, chikakatta, chikakunakatta, chikakute, chikami, chikakereba, chikakarou, |chikai|近い|nearby|Adjective (i-keiyoushi)||||526|tooi||chika, chikakunai, chikakatta, chikakunakatta, chikakute, chikami, chikakereba, chikakarou|
atatakai, 暖かい, warm, atataka, atatakakunai, atatakakatta, atatakakunakatta, atatakakute, atatakami, atatakakereba, atatakakarou, 温かい|atatakai|暖かい|warm|Adjective (i-keiyoushi)||||527, 1303|suzushii, samui, tsumetai|atsui|atataka, atatakakunai, atatakakatta, atatakakunakatta, atatakakute, atatakami, atatakakereba, atatakakarou|
suzushii, 涼しい, cool, refreshing, suzushi, suzushikunai, suzushikatta, suzushikunakatta, suzushikute, suzushimi, suzushikereba, suzushikarou, |suzushii|涼しい|cool, refreshing|Adjective (i-keiyoushi)||Used for weather.||528|atatakai, atsui|samui, tsumetai|suzushi, suzushikunai, suzushikatta, suzushikunakatta, suzushikute, suzushimi, suzushikereba, suzushikarou|
atsui, 暑い, warm (weather), hot (weather), atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou, |atsui|暑い|warm (weather), hot (weather)|Adjective (i-keiyoushi)||Used for weather and general heat.||529|suzushii, samui, tsumetai|atatakai|atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou|
samui, 寒い, cold (temperature), samu, samukunai, samukatta, samukunakatta, samukute, samumi, samukereba, samukarou, |samui|寒い|cold (temperature)|Adjective (i-keiyoushi)|||||atsui, atatakai|suzushii, tsumetai|samu, samukunai, samukatta, samukunakatta, samukute, samumi, samukereba, samukarou|
oishii, 美味しい, tasty, delicious, oishi, oishikunai, oishikatta, oishikunakatta, oishikute, oishimi, oishikereba, oishikarou, |oishii|美味しい|tasty, delicious|Adjective (i-keiyoushi)||||530|mazui||oishi, oishikunai, oishikatta, oishikunakatta, oishikute, oishimi, oishikereba, oishikarou|
mazui, 不味い, tasteless, nasty, tasting bad, disgusting, mazu, mazukunai, mazukatta, mazukunakatta, mazukute, mazumi, mazukereba, mazukarou, |mazui|不味い|tasteless, nasty, tasting bad, disgusting|Adjective (i-keiyoushi)||||531|oishii||mazu, mazukunai, mazukatta, mazukunakatta, mazukute, mazumi, mazukereba, mazukarou|
ochisukanai, 落ち着かない, uncomfortable, ochisukana, ochisukanakunai, ochisukanakatta, ochisukanakunakatta, ochisukanakute, ochisukanami, ochisukanakereba, ochisukanakarou, |ochisukanai|落ち着かない|uncomfortable|Adjective (i-keiyoushi)|||||kaiteki||ochisukana, ochisukanakunai, ochisukanakatta, ochisukanakunakatta, ochisukanakute, ochisukanami, ochisukanakereba, ochisukanakarou|
karui, 軽い, light, nimble, agile, minor, unimportant, trivial, karu, karukunai, karukatta, karukunakatta, karukute, karumi, karukereba, karukarou, |karui|軽い|light, nimble, agile, minor, unimportant, trivial|Adjective (i-keiyoushi)|||||omoi||karu, karukunai, karukatta, karukunakatta, karukute, karumi, karukereba, karukarou|
omoi, 重い, heavy, omo, omokunai, omokatta, omokunakatta, omokute, omomi, omokereba, omokarou, |omoi|重い|heavy|Adjective (i-keiyoushi)||||532|karui||omo, omokunai, omokatta, omokunakatta, omokute, omomi, omokereba, omokarou|
nagai, 長い, long, naga, nagakunai, nagakatta, nagakunakatta, nagakute, nagami, nagakereba, nagakarou, |nagai|長い|long|Adjective (i-keiyoushi)||||209|mijikai||naga, nagakunai, nagakatta, nagakunakatta, nagakute, nagami, nagakereba, nagakarou|
mijikai, 短い, short, mijika, mijikakunai, mijikakatta, mijikakunakatta, mijikakute, mijikami, mijikakereba, mijikakarou, |mijikai|短い|short|Adjective (i-keiyoushi)||||533|nagai||mijika, mijikakunai, mijikakatta, mijikakunakatta, mijikakute, mijikami, mijikakereba, mijikakarou|
isogashii, 忙しい, busy, isogashi, isogashikunai, isogashikatta, isogashikunakatta, isogashikute, isogashimi, isogashikereba, isogashikarou, |isogashii|忙しい|busy|Adjective (i-keiyoushi)||||534, 1262|hima, jiyuu||isogashi, isogashikunai, isogashikatta, isogashikunakatta, isogashikute, isogashimi, isogashikereba, isogashikarou|
yurui, 緩い, loose, lenient, lax, gentle (e.g. curve, slope), slow, weak, soft, yuru, yurukunai, yurukatta, yurukunakatta, yurukute, yurumi, yurukereba, yurukarou, |yurui|緩い|loose, lenient, lax, gentle (e.g. curve, slope), slow, weak, soft|Adjective (i-keiyoushi)|||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|yuru, yurukunai, yurukatta, yurukunakatta, yurukute, yurumi, yurukereba, yurukarou|
kitsui, きつい, tight, kitsu, kitsukunai, kitsukatta, kitsukunakatta, kitsukute, kitsumi, kitsukereba, kitsukarou, |kitsui|きつい|tight|Adjective (i-keiyoushi)|||||yurui||kitsu, kitsukunai, kitsukatta, kitsukunakatta, kitsukute, kitsumi, kitsukereba, kitsukarou|
hidoi, 酷い, awful, terrible, hido, hidokunai, hidokatta, hidokunakatta, hidokute, hidomi, hidokereba, hidokarou, hidee, 非道い|hidoi|酷い|awful, terrible|Adjective (i-keiyoushi)||"hidee" is used colloquially.||535, 1284|idai||hido, hidokunai, hidokatta, hidokunakatta, hidokute, hidomi, hidokereba, hidokarou|
hayai, 早い, early, easy, simple, haya, hayakunai, hayakatta, hayakunakatta, hayakute, hayami, hayakereba, hayakarou, |hayai|早い|early, easy, simple|Adjective (i-keiyoushi)||||536, 1314|osoi||haya, hayakunai, hayakatta, hayakunakatta, hayakute, hayami, hayakereba, hayakarou|
hayai, 速い, quick, fast, haya, hayakunai, hayakatta, hayakunakatta, hayakute, hayami, hayakereba, hayakarou, |hayai|速い|quick, fast|Adjective (i-keiyoushi)||||537|||haya, hayakunai, hayakatta, hayakunakatta, hayakute, hayami, hayakereba, hayakarou|
osoi, 遅い, slow, late, oso, osokunai, osokatta, osokunakatta, osokute, osomi, osokereba, osokarou, |osoi|遅い|slow, late|Adjective (i-keiyoushi)||||538, 1314|hayai||oso, osokunai, osokatta, osokunakatta, osokute, osomi, osokereba, osokarou|
urusai, 煩い, loud, noisy, annoying, troublesome, urusa, urusakunai, urusakatta, urusakunakatta, urusakute, urusami, urusakereba, urusakarou, |urusai|煩い|loud, noisy, annoying, troublesome|Adjective (i-keiyoushi)||||539|shizuka||urusa, urusakunai, urusakatta, urusakunakatta, urusakute, urusami, urusakereba, urusakarou|
abunai, 危ない, dangerous, risky, hazardous, perilous, precarious, unreliable, insecure, abuna, abunakunai, abunakatta, abunakunakatta, abunakute, abunami, abunakereba, abunakarou, |abunai|危ない|dangerous, risky, hazardous, perilous, precarious, unreliable, insecure|Adjective (i-keiyoushi)||||540|anzen||abuna, abunakunai, abunakatta, abunakunakatta, abunakute, abunami, abunakereba, abunakarou|
mazushii, 貧しい, poor, mazushi, mazushikunai, mazushikatta, mazushikunakatta, mazushikute, mazushimi, mazushikereba, mazushikarou, |mazushii|貧しい|poor|Adjective (i-keiyoushi)||||541|okanemochi|binbou|mazushi, mazushikunai, mazushikatta, mazushikunakatta, mazushikute, mazushimi, mazushikereba, mazushikarou|
arai, 荒い, rough, wild, ara, arakunai, arakatta, arakunakatta, arakute, arami, arakereba, arakarou, |arai|荒い|rough, wild|Adjective (i-keiyoushi)|||||||ara, arakunai, arakatta, arakunakatta, arakute, arami, arakereba, arakarou|
itai, 痛い, painful, ita, itakunai, itakatta, itakunakatta, itakute, itami, itakereba, itakarou, |itai|痛い|painful|Adjective (i-keiyoushi)||||541, 1324|||ita, itakunai, itakatta, itakunakatta, itakute, itami, itakereba, itakarou|
tsumetai, 冷たい, cold (object), tsumeta, tsumetakunai, tsumetakatta, tsumetakunakatta, tsumetakute, tsumetami, tsumetakereba, tsumetakarou, |tsumetai|冷たい|cold (object)|Adjective (i-keiyoushi)||||542|atatakai, atsui|samui, suzushii|tsumeta, tsumetakunai, tsumetakatta, tsumetakunakatta, tsumetakute, tsumetami, tsumetakereba, tsumetakarou|
kanashii, 悲しい, sad, sorrowful, unhappy, kanashi, kanashikunai, kanashikatta, kanashikunakatta, kanashikute, kanashimi, kanashikereba, kanashikarou, |kanashii|悲しい|sad, sorrowful, unhappy|Adjective (i-keiyoushi)||||543|ureshi||kanashi, kanashikunai, kanashikatta, kanashikunakatta, kanashikute, kanashimi, kanashikereba, kanashikarou|
sukunai, 少ない, scarse, insufficient, few, sukuna, sukunakunai, sukunakatta, sukunakunakatta, sukunakute, sukunami, sukunakereba, sukunakarou, |sukunai|少ない|scarse, insufficient, few|Adjective (i-keiyoushi)||||544, 1272, 1286|ooi||sukuna, sukunakunai, sukunakatta, sukunakunakatta, sukunakute, sukunami, sukunakereba, sukunakarou|
usui, 薄い, thin, pale light, dilute, weak (e.g. taste), usu, usukunai, usukatta, usukunakatta, usukute, usumi, usukereba, usukarou, |usui|薄い|thin, pale light, dilute, weak (e.g. taste)|Adjective (i-keiyoushi)||||545|tsuyoi, koi, joubu, futoi|hosoi, yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|usu, usukunai, usukatta, usukunakatta, usukute, usumi, usukereba, usukarou|
hosoi, 細い, thin, slender, fine, hoso, hosokunai, hosokatta, hosokunakatta, hosokute, hosomi, hosokereba, hosokarou, |hosoi|細い|thin, slender, fine|Adjective (i-keiyoushi)||Used to describe road widths, people, etc.||546||usui|hoso, hosokunai, hosokatta, hosokunakatta, hosokute, hosomi, hosokereba, hosokarou|
futoi, 太い, thick, fat, futo, futokunai, futokatta, futokunakatta, futokute, futomi, futokereba, futokarou, |futoi|太い|thick, fat|Adjective (i-keiyoushi)||||547|usui, hosoi||futo, futokunai, futokatta, futokunakatta, futokute, futomi, futokereba, futokarou|
utsukoshii, 美しい, beautiful, utsukoshi, utsukoshikunai, utsukoshikatta, utsukoshikunakatta, utsukoshikute, utsukoshimi, utsukoshikereba, utsukoshikarou, |utsukoshii|美しい|beautiful|Adjective (i-keiyoushi)|||||||utsukoshi, utsukoshikunai, utsukoshikatta, utsukoshikunakatta, utsukoshikute, utsukoshimi, utsukoshikereba, utsukoshikarou|
kawaii, 可愛い, pretty, cute, kawai, kawaikunai, kawaikatta, kawaikunakatta, kawaikute, kawaimi, kawaikereba, kawaikarou, |kawaii|可愛い|pretty, cute|Adjective (i-keiyoushi)||||548|||kawai, kawaikunai, kawaikatta, kawaikunakatta, kawaikute, kawaimi, kawaikereba, kawaikarou|
kawairashii, 可愛らしい, lovely, sweet, kawairashi, kawairashikunai, kawairashikatta, kawairashikunakatta, kawairashikute, kawairashimi, kawairashikereba, kawairashikarou, |kawairashii|可愛らしい|lovely, sweet|Adjective (i-keiyoushi)|||||||kawairashi, kawairashikunai, kawairashikatta, kawairashikunakatta, kawairashikute, kawairashimi, kawairashikereba, kawairashikarou|
airashii, 愛らしい, adorable, airashi, airashikunai, airashikatta, airashikunakatta, airashikute, airashimi, airashikereba, airashikarou, |airashii|愛らしい|adorable|Adjective (i-keiyoushi)|||||||airashi, airashikunai, airashikatta, airashikunakatta, airashikute, airashimi, airashikereba, airashikarou|
minikui, 醜い, ugly, hard on the eyes, miniku, minikukunai, minikukatta, minikukunakatta, minikukute, minikumi, minikukereba, minikukarou, |minikui|醜い|ugly, hard on the eyes|Adjective (i-keiyoushi)|||||rippa||miniku, minikukunai, minikukatta, minikukunakatta, minikukute, minikumi, minikukereba, minikukarou|
kitanai, 汚い, dirty, foul, messy, filthy, kitana, kitanakunai, kitanakatta, kitanakunakatta, kitanakute, kitanami, kitanakereba, kitanakarou, |kitanai|汚い|dirty, foul, messy, filthy|Adjective (i-keiyoushi)||||549|||kitana, kitanakunai, kitanakatta, kitanakunakatta, kitanakute, kitanami, kitanakereba, kitanakarou|
omoshiroi, 面白い, interesting, funny, amusing, omoshiro, omoshirokunai, omoshirokatta, omoshirokunakatta, omoshirokute, omoshiromi, omoshirokereba, omoshirokarou, |omoshiroi|面白い|interesting, funny, amusing|Adjective (i-keiyoushi)||||298|tsumaranai||omoshiro, omoshirokunai, omoshirokatta, omoshirokunakatta, omoshirokute, omoshiromi, omoshirokereba, omoshirokarou|
tanoshii, 楽しい, fun, enjoyable, pleasant, tanoshi, tanoshikunai, tanoshikatta, tanoshikunakatta, tanoshikute, tanoshimi, tanoshikereba, tanoshikarou, |tanoshii|楽しい|fun, enjoyable, pleasant|Adjective (i-keiyoushi)||||550|tsumaranai||tanoshi, tanoshikunai, tanoshikatta, tanoshikunakatta, tanoshikute, tanoshimi, tanoshikereba, tanoshikarou|
tsumaranai, 詰らない, boring, uninteresing, tsumarana, tsumaranakunai, tsumaranakatta, tsumaranakunakatta, tsumaranakute, tsumaranami, tsumaranakereba, tsumaranakarou, 詰まらない|tsumaranai|詰らない|boring, uninteresing|Adjective (i-keiyoushi)||||551|omoshiroi, tanoshii||tsumarana, tsumaranakunai, tsumaranakatta, tsumaranakunakatta, tsumaranakute, tsumaranami, tsumaranakereba, tsumaranakarou|
ookii, 大きい, big, large, ooki, ookikunai, ookikatta, ookikunakatta, ookikute, ookimi, ookikereba, ookikarou, |ookii|大きい|big, large|Adjective (i-keiyoushi)||||552|||ooki, ookikunai, ookikatta, ookikunakatta, ookikute, ookimi, ookikereba, ookikarou|
chiisai, 小さい, small, chiisa, chiisakunai, chiisakatta, chiisakunakatta, chiisakute, chiisami, chiisakereba, chiisakarou, |chiisai|小さい|small|Adjective (i-keiyoushi)||||553|||chiisa, chiisakunai, chiisakatta, chiisakunakatta, chiisakute, chiisami, chiisakereba, chiisakarou|
yasashii, 優しい, friendly, tender, kind, gentle, graceful, affectionate, amiable, suave, sweet, yasashi, yasashikunai, yasashikatta, yasashikunakatta, yasashikute, yasashimi, yasashikereba, yasashikarou, |yasashii|優しい|friendly, tender, kind, gentle, graceful, affectionate, amiable, suave, sweet|Adjective (i-keiyoushi)||||554|shinsetsu|fushinsetsu|yasashi, yasashikunai, yasashikatta, yasashikunakatta, yasashikute, yasashimi, yasashikereba, yasashikarou|
yasashii, 易しい, easy, plain, simple, yasashi, yasashikunai, yasashikatta, yasashikunakatta, yasashikute, yasashimi, yasashikereba, yasashikarou, |yasashii|易しい|easy, plain, simple|Adjective (i-keiyoushi)||||555, 556|muzukashii, nikui, taihen||yasashi, yasashikunai, yasashikatta, yasashikunakatta, yasashikute, yasashimi, yasashikereba, yasashikarou|
urayamashii, 羨ましい, envious, jealous, enviable, urayamashi, urayamashikunai, urayamashikatta, urayamashikunakatta, urayamashikute, urayamashimi, urayamashikereba, urayamashikarou, |urayamashii|羨ましい|envious, jealous, enviable|Adjective (i-keiyoushi)|||||||urayamashi, urayamashikunai, urayamashikatta, urayamashikunakatta, urayamashikute, urayamashimi, urayamashikereba, urayamashikarou|
akkenai, 呆気ない, short & simple, akkena, akkenakunai, akkenakatta, akkenakunakatta, akkenakute, akkenami, akkenakereba, akkenakarou, |akkenai|呆気ない|short & simple|Adjective (i-keiyoushi)|||||||akkena, akkenakunai, akkenakatta, akkenakunakatta, akkenakute, akkenami, akkenakereba, akkenakarou|
subarashii, 素晴らしい, wonderful, subarashi, subarashikunai, subarashikatta, subarashikunakatta, subarashikute, subarashimi, subarashikereba, subarashikarou, |subarashii|素晴らしい|wonderful|Adjective (i-keiyoushi)|||||||subarashi, subarashikunai, subarashikatta, subarashikunakatta, subarashikute, subarashimi, subarashikereba, subarashikarou|
erai, 偉い, distinguished, great, era, erakunai, erakatta, erakunakatta, erakute, erami, erakereba, erakarou, |erai|偉い|distinguished, great|Adjective (i-keiyoushi)|||||||era, erakunai, erakatta, erakunakatta, erakute, erami, erakereba, erakarou|
ooi, 多い, numerous, a lot of, oo, ookunai, ookatta, ookunakatta, ookute, oomi, ookereba, ookarou, |ooi|多い|numerous, a lot of|Adjective (i-keiyoushi)||||460, 471, 1285, 1326|sukunai||oo, ookunai, ookatta, ookunakatta, ookute, oomi, ookereba, ookarou|
atsui, 厚い, thick, abundant, atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou, |atsui|厚い|thick, abundant|Adjective (i-keiyoushi)||||557|||atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou|
atsui, 熱い, hot (object), atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou, |atsui|熱い|hot (object)|Adjective (i-keiyoushi)||Used for objects.||558|||atsu, atsukunai, atsukatta, atsukunakatta, atsukute, atsumi, atsukereba, atsukarou|
ureshii, 嬉しい, happy, glad, pleased, ureshi, ureshikunai, ureshikatta, ureshikunakatta, ureshikute, ureshimi, ureshikereba, ureshikarou, |ureshii|嬉しい|happy, glad, pleased|Adjective (i-keiyoushi)||||559|kanashii||ureshi, ureshikunai, ureshikatta, ureshikunakatta, ureshikute, ureshimi, ureshikereba, ureshikarou|
wakai, 若い, young, waka, wakakunai, wakakatta, wakakunakatta, wakakute, wakami, wakakereba, wakakarou, |wakai|若い|young|Adjective (i-keiyoushi)||||560, 561|furui|atarashii|waka, wakakunai, wakakatta, wakakunakatta, wakakute, wakami, wakakereba, wakakarou|
yoroshii, 宜しい, good, ok, all right, fine, yoroshi, yoroshikunai, yoroshikatta, yoroshikunakatta, yoroshikute, yoroshimi, yoroshikereba, yoroshikarou, |yoroshii|宜しい|good, ok, all right, fine|Adjective (i-keiyoushi)|||||||yoroshi, yoroshikunai, yoroshikatta, yoroshikunakatta, yoroshikute, yoroshimi, yoroshikereba, yoroshikarou|
nurui, 温い, lukewarm, tepid, nuru, nurukunai, nurukatta, nurukunakatta, nurukute, nurumi, nurukereba, nurukarou, |nurui|温い|lukewarm, tepid|Adjective (i-keiyoushi)||||266|||nuru, nurukunai, nurukatta, nurukunakatta, nurukute, nurumi, nurukereba, nurukarou|
yowacchii, 弱っちい, weak, feeble, yowacchi, yowacchikunai, yowacchikatta, yowacchikunakatta, yowacchikute, yowacchimi, yowacchikereba, yowacchikarou, |yowacchii|弱っちい|weak, feeble|Adjective (i-keiyoushi)|||||tsuyoi, joubu|yowai, hiyowai, hiyowa yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|yowacchi, yowacchikunai, yowacchikatta, yowacchikunakatta, yowacchikute, yowacchimi, yowacchikereba, yowacchikarou|
yawai, 柔い, soft, weak, yawa, yawakunai, yawakatta, yawakunakatta, yawakute, yawami, yawakereba, yawakarou, |yawai|柔い|soft, weak|Adjective (i-keiyoushi)|||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, nayocchii, kasuka, hijaku, yawa|yawa, yawakunai, yawakatta, yawakunakatta, yawakute, yawami, yawakereba, yawakarou|
nayocchii, なよっちい, weak, frail, slender, feminine, nayocchi, nayocchikunai, nayocchikatta, nayocchikunakatta, nayocchikute, nayocchimi, nayocchikereba, nayocchikarou, |nayocchii|なよっちい|weak, frail, slender, feminine|Adjective (i-keiyoushi)|||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, kasuka, hijaku, yawa|nayocchi, nayocchikunai, nayocchikatta, nayocchikunakatta, nayocchikute, nayocchimi, nayocchikereba, nayocchikarou|
tadashii, 正しい, right, just, correct, righteous, honest, truthful, proper, strightforward, perfect, tadashi, tadashikunai, tadashikatta, tadashikunakatta, tadashikute, tadashimi, tadashikereba, tadashikarou, |tadashii|正しい|right, just, correct, righteous, honest, truthful, proper, strightforward, perfect|Adjective (i-keiyoushi)||||562|||tadashi, tadashikunai, tadashikatta, tadashikunakatta, tadashikute, tadashimi, tadashikereba, tadashikarou|
marui, 丸い, round, cicular, spherical, maru, marukunai, marukatta, marukunakatta, marukute, marumi, marukereba, marukarou, |marui|丸い|round, cicular, spherical|Adjective (i-keiyoushi)||||563|||maru, marukunai, marukatta, marukunakatta, marukute, marumi, marukereba, marukarou|
mushiatsui, 蒸し暑い, hot and humid, sultry, mushiatsu, mushiatsukunai, mushiatsukatta, mushiatsukunakatta, mushiatsukute, mushiatsumi, mushiatsukereba, mushiatsukarou, 蒸暑い|mushiatsui|蒸し暑い|hot and humid, sultry|Adjective (i-keiyoushi)||||564, 1359|||mushiatsu, mushiatsukunai, mushiatsukatta, mushiatsukunakatta, mushiatsukute, mushiatsumi, mushiatsukereba, mushiatsukarou|
katai, 硬い, hard, solid, tough, kata, katakunai, katakatta, katakunakatta, katakute, katami, katakereba, katakarou, |katai|硬い|hard, solid, tough|Adjective (i-keiyoushi)|||||||kata, katakunai, katakatta, katakunakatta, katakute, katami, katakereba, katakarou|
