Index|Explanation|Rules|Example|
120||X dattara Y @ X = adj. "na", Y = frase en presento|917|
121||X tara/dara Y @ X tara/dara = verbo en forma "tara", Y = frase en presento|918|
122||X kattara Y @ X = adj. "i" o verbo en forma "ta", Y = frase en presento|919|
123|Cuando X entonces Y.|X dattara Y @ X = sustantivo/adj. "na", Y = frase en pasado||
124||X tara/dara Y @ X tara/dara = verbo en forma "tara", Y = frase en pasado|919|
125||X kattara Y @ X = adj. "i" o verbo en forma "ta", Y = frase en pasado||
126|Si no es X entonces Y.|X de nakattara Y @ X = sustantivo/adj. "na", Y = frase en presento||
127||X nakattara Y @ X nakattara = verbo en forma "nakattara", Y = frase en presento||
128||X ku nakattara Y @ X = adj. "i" o verbo en forma "ta", Y = frase en presento|920|
129|Cuando no es X entonces Y.|X de nakattara Y @ X = sustantivo/adj. "na", Y = frase en pasado||
130||X nakattara Y @ X nakattara = verbo en forma "nakattara", Y = frase en pasado||
131||X ku nakattara Y @ X = adj. "i" o verbo en forma "ta", Y = frase en pasado||
132|X por lo tanto Y.|X dakara Y @ X = sustantivo, adj. "na", adj. "i" conjugado, hecho implícito|921;922;923|
133||X kara Y @ X = verbo forma simple, adj. "i" forma simple|924;925|
134|X por lo tanto Y. Más suave y más educado que "kara", usado para distanciar causa a consecuencia.|X nanode Y @ X = sustantivo, adj. "na", hecho implicido|77;926;927|
135||X node Y @ X = verbo en forma "masu"/simple, adj. "i"|92;928|
136|X por lo tanto Y. Forma coloquial de "node", utilizada para distanciar causa a consecuencia.|X nande Y @ X = sustantivo, adj. "na", hecho implicido|929;930;931|
137||X nde Y @ X = verbo forma simple, adj. "i"|932;933|
138|X por lo tanto Y. Por lo general, con la connotación "es tan X que Y". La terminación "te/de" también se usa cuando la frase X sucede en el pasado.|X Y @ X = verbo en forma "te"|1319;1320;1321;1322|
139||X Y @ X = adj. "i" en forma "te"|1323;1324|
140||X Y @ X = adj. "na"|1325|
141||X Y @ X = sustantivo|1326|
142||X. demo Y @ X/Y = frase|934|
143||X temo/demo Y @ X/Y = frase|935;1402;1424;1489;1491|
144|A menudo se utiliza después de una frase más limpia o después de un verbo en forma "masu".|X desu/deshita ga Y @ X = sustantivo, adj. "na"|1261;1259|
145||X ga Y @ X = verbo en forma "masu" (presento o pasado), adj. "i"|936;937;1260|
146|Uso menos común de "ga".|X desu/deshita ga Y @ X = sustantivo, adj. "na"||
147||X ga Y @ X = verbo en forma "masu" (presento o pasado)|938;939|
148||X i/katta ga Y @ X = adj. "i"||
149|X pero Y.|X da kedo Y @ X = sustantivo, adj. "na", hecho implícito|940;941|
150||X kedo Y @ X = verbo forma simple, adj. "i"|942;1503|
151|X e Y. Uso menos común.|X da kedo Y @ X = sustantivo, adj. "na"||
152||X kedo Y @ X = verbo, adj. "i"|943|
153|X pero Y. Forma más limpia de "kedo".|X da keredomo Y @ X = sustantivo, adj. "na"|944;945|
154||X keredomo Y @ X = verbo, adj. "i"|946;947;1414;1415;1416|
155|Y a pesar de X. Y aunque X. La frase a veces termina en "noni" para atribuir decepción o sorpresa sobre un evento determinado.|X nanoni Y @ X = sustantivo, adj. "na" (present)|951;952|
156||X datta noni Y @ X = adj. "na" (past)|953|
157||X noni Y @ X = verbo forma simple, adj. "i"|954;1384;955;956|
158|X y Y (entre otras cosas). Se usa cuando se describen estados del ser.|X da shi Y shi/da shi @ X = sustantivo, adj. "na"|961|
159||X shi Y shi/da shi @ X = verbo,  adj. "i"|962|
160|X y/o Y. "tari" se usa generalmente para dar una lista de posibilidades alternativas, y se repite según sea necesario. El uso es [X tari] ... [Y tari] suru, donde "suru" se conjuga y controla el tiempo total.|X/Y suru @ X/Y = verbo en forma "tari"|963;964;1316;1317;1318|
161||X/Y dattari suru @ X/Y = adj. "na"/sustantivo|965;1318|
162||X/Y suru @ X/Y = i-adj en forma "kattari"|965;1314;1315|
163|Y sucediendo al mismo tiempo que X.|X no toki Y @ X = sustantivo, Y en el presento|966;1298|
164||X na toki Y @ X = adj. "na", Y en el presento|967;968|
165||X toki Y @ X = verbo en forma dicc./adj. "i", Y en el presento|969;970|
166|Y sucedió/habrá ocurrido/se acordó que suceda al mismo tiempo que X.|X datta toki Y @ X = sustantivo/adj. "na", Y en el pasado|971;972|
167||X toki Y @ X = verbo en forma "ta", Y en el pasado|973;1412;1418|
168||X katta toki Y @ X = adj. "i", Y en el pasado|974|
169|Y sucede mientras X sigue sucediendo.|X no uchi ni Y @ X = sustantivo|975|
170||X na uchi ni Y @ X = adj. "na"||
171||X uchi ni Y @ X = verbo, adj. "i"|976|
172|Y para el beneficio de X, por el bien de algo seguro.|X no tame no Y @ X = sustantivo, Y = sustantivo|992|
173||X no tame ni Y @ X = sustantivo, Y = verbo|993|
174|Decir que X.|X da to iu @ X = sustantivo, adj. "na"|1004;100|
175||X to iu @ X = verbo forma simple, adj. "i"|1005;1006|
176|Piensa que X.|X da to omou @ X = sustantivo, adj. "na"|1007;1380|
177||X to omou @ X = verbo forma simple, adj. "i"|1381;1379|
178|Es/no es siempre X.|X da to wa kagiranai @ X = sustantivo, adj. "na"||
179||X to wa kagiranai @ X = verbo forma simple, adj. "i"|1008|
180|Yo no Y si X es ... o no|X ka dou ka Y @ X = verbo en forma simple, Y = saber/pensar/creer/etc..|1018;1019|
181||X ka dou ka Y @ X = i-adj, Y = saber/pensar/creer/etc..|1020;1021|
182||X ka dou ka Y @ X = adj. "na"/sustantivo, Y = saber/pensar/creer/etc..|1022;1023|
183|Se supone que debe [hacer/ser] X.|X hazu da @ X = verbo en forma dicc., adj. "i"|1024;1025;1026|
184||X na hazu da @ X = adj. "na"|1027|
185||X no hazu da @ X = sustantivo|1028|
186||X hazu ga/wa nai @ X = verbo en forma "nai" (frase doble negativa)|1029|
187||X hazu da @ X = adj. "i" negativo (frase doble negativa)|1030|
188||X na hazu da @ X = adj. "na" negativo (frase doble negativa)||
189||X hazu da @ X = adj. adnominal (p.ej. konna)||
190|No se supone que [haga/sea] X.|X hazu da @ X = verbo en forma "nai" (expresa certeza)|1031|
191||X kunai hazu da @ X kunai = adj. "i" negativo (expresa certeza)|1032|
192||X ja/dewa nai hazu da @ X = adj. "na" negativo (expresa certeza)||
193||X hazu ga/wa nai @ X = verbo en forma dicc. (expresa negación)|1033|
194||X hazu ga/wa nai @ X = adj. "i" affirmative (expresa negación)|1034|
195||X na hazu ga/wa nai @ X = adj. "na" affirmative (expresa negación)||
196||X hazu ga/wa nai @ X = adj, adnominal (p.ej. konna)||
197|Ciertamente se suponía que debe [hacer/ser] X.|X hazu da @ X = verbo en forma "ta"/adj. "i" afirmativo pasado|1035;1036|
198||X datta hazu da @ X = sustantivo/adj. "na"|1037;1038|
199||X hazu datta @ X = adj, adnominal (p.ej. konna)||
200|Lamentablemente se suponía que debe [hacer/ser] X.|X hazu datta @ X = verbo en forma dicc./adj. "i" afirmativo presento|1039|
201||X na hazu datta @ X = adj. "na" afirmativo presento|1040|
202||X no hazu datta @ X = sustantivo|1041|
203|Ciertamente no se suponía que debe [hacer/ser] X.|X hazu ja/dewa nakatta @ X = verbo en forma "ta"/adj. "i" afirmativo presento/adj. adnominal (p.ej. konna)|1042;1043|
204||X na hazu ja/dewa nakatta @ X = adj. "na" afirmativo presento||
205||X no hazu ja/dewa nakatta @ X = sustantivo||
206|En cuanto a X, sobre X, en relación con X, con respecto a X.|X ni tsuite no Y @ Y = sustantivo|1373;1374;1375;1485|
207||X ni tsuite Y @ Y = verbo|1376;1377;1378;1486|
208|Convirtiéndose en X. Utilizado como una declaración general. Para una declaración desde un punto de vista personal, se usa el tiempo pasado (natta/narimashita).|X ni naru @ X = adj. "na"|1045|
209||X ni naru @ X = sustantivo|1046|
210||X ku naru @ X = adj. "i"|1047;1048|
211||X you ni naru @ X = verbo forma simple|1364|
212|Se convirtió en X. Utilizado como una declaración desde un punto de vista personal. Para una referencia general, se usa el tiempo presente (naru/narimasu).|X ni natta @ X = sustantivo, adj. "na"||
213||X ku natta @ X = adj. "i"||
214||X you ni natta @ X = verbo|985;986;987|
215|Y más ... que X.|X yori Y hou ga @ X = verbo en forma dicc./adj. "i" presento, Y = verbo en forma "ta"/adj. "i" present|1051|
216||X yori Y no hou ga @ X/Y = sustantivo|1052;1053|
217||X na yori Y na hou ga @ X/Y = adj. "na" presento||
218|X menos ... que Y.|Y X yori @ X = verbo forma dicc./sustantivo/adj. "i" presento, Y = verbo en forma "ta"/sustantivo/adj. "i" present|1263;1264|
219||Y X na yori @ X/Y = adj. "na" presento||
220|Entre X y Y.|X noto Y noto/nanoto @ X = sustantivo, verbo, adj. "i"|1055;1056|
221||X nanoto Y noto/nanoto @ X = adj. "na"|1054|
222|X parece ser Y, X se parece a Y.|X you na Y @ X = action, Y = sustantivo|996;997;1423|
223||X you ni Y @ X = action, Y = verbo|998;999|
224||X no you ni Y @ X = sustantivo, Y = sustantivo|1002;1003|
225||X no you na Y @ X = sustantivo, Y = verbo|1000;1001|
226||X sou na Y @ X = adj. "i", Y = sustantivo|1422|
227||X sou na Y @ X = adj. "na", Y = sustantivo||
228|Despues de X.|X no ato (de) @ X = sustantivo|1057;1058;464|
229||X ato @ X = sustantivo (forma más limpia)|1059|
230||X ato de @ X = verbo de acción en pasado simple|1060;1456|
231|Antes de X.|X no mae ni @ X = sustantivo|1061;1062|
232||X mae ni @ X = verbo de acción en presente simple|1063|
233|X y luego Y.|X te Y @ X/Y = verbo de acción|1066;1067|
234||X Y (sin "te") @ X/Y = verbo de acción, se uso solamente en forma literaria||
235||||
236||||
237|Encantada de conocerte.|Utilice "kochira koso" en la respuesta.|1224|
238|Saludos.||1225|
239|Gracias de antemano/Cuento contigo/Estoy en deuda contigo. (utilizado con respecto a los compañeros de trabajo)|||
240|Por favor sea amable conmigo/tráteme bien.||1226|
241||Cuando se disculpa.|1227|
242|Dijo al entrar a la casa de alguien.||1228|
243||Expresión más formal.|1247|
244||Expresión menos formal.|1248;1298|
245|Se refiere a algo que afecta al hablante. La "n" actúa como un suavizante para la humildad, ya que el hablante se está refiriendo a sí mismo.|X da to ii n desu ga @ X = sustantivo/adj. "na"|1433;1434|
246||X to ii n desu ga @ X = verbo/adj. "i"||
247|Se refiere a algo que afecta a alguien que no es el hablante.|X da to ii desu ne @ X = sustantivo/adj. "na"||
248||X to ii desu ne @ X = verbo/adj. "i"|1445;1446|
249|Utilizado especialmente en artículos de noticias.|X tame @ X = verbo pasado simple|1494|
250||X no tame @ X = frase presento simple|1495|
251|X e Y y así sucesivamente. Se usa para enumerar múltiples ejemplos, generalmente para expresar insatisfacción o una acción negativa/un hecho negativo.|X dano Y (datta) dano @ X = adj. "i", verbo||
252||X dano Y (datta) dano @ X = sustantivo/adj. "na" en el presento||
253||X datta dano Y (datta) dano @ X = sustantivo/adj. "na" en el pasado||
254|Se usa cuando se contemplan dos o más opciones opuestas (es decir, las opciones tienen significados opuestos). Se agrega "no" para expresar incertidumbre. A menudo se utiliza en las conversaciones.|X yara Y yara @ X = sustantivo/adj. "i"||
255||X no yara Y (na) no yara @ X = verbo/adj. "i"||
256||X na no yara Y (na) no yara @ X = adj. "na"||
257|Decir que X.|X da to tsutaeru @ X = sustantivo/adj. "na"||
258||X to tsutaeru @ X = verbo forma simple/adj. "i"||
